Atom: 6
Frequency   X       Y       Z       IR      Raman
201.1153  -0.00  0.01  -0.01  3.7411  1.24
206.1072  -0.10  -0.03  -0.02  50.6129  17.9316
209.0191  0.00  -0.02  0.00  3.2633  22.5943
211.0213  0.05  -0.01  0.01  3.3153  5.5153
214.5985  -0.03  -0.00  -0.00  10.2403  5.5185
216.4520  -0.01  -0.01  -0.02  33.9163  25.241
222.7555  -0.01  -0.03  -0.04  7.4902  10.6057
225.0668  0.06  0.03  -0.01  2.5576  31.5033
228.4421  -0.04  -0.01  0.01  10.0821  23.4949
231.5929  0.02  0.01  0.05  4.2375  16.896
239.2854  0.09  -0.00  -0.00  1.8364  104.7791
240.9231  -0.05  -0.02  0.02  22.7367  19.2371
249.2400  -0.06  -0.03  0.03  12.2744  128.3356
251.9608  0.15  0.04  0.01  34.0819  4.4659
257.9212  -0.07  -0.02  -0.03  3.8651  3.9823
258.6407  0.25  -0.11  -0.03  6.3561  8.1637
262.7683  -0.04  0.01  -0.00  2.5685  2.3222
265.1740  0.01  0.03  -0.03  12.415  9.0117
269.3524  -0.07  -0.01  0.02  12.5449  6.463
271.0521  -0.03  0.04  -0.03  13.5429  61.7921
280.8322  0.11  -0.07  0.03  18.0557  10.0575
283.5797  0.08  -0.04  0.04  6.4318  32.9112
288.9860  0.05  -0.01  0.02  1.7005  32.4566
299.1839  0.00  -0.02  0.04  3.3864  62.2268
308.7255  0.13  0.01  0.02  5.8248  15.5115
315.1332  0.01  -0.01  -0.01  2.4786  15.8445
324.4064  0.01  0.01  0.00  23.7405  131.7366
329.8949  0.02  -0.03  0.01  52.8878  34.6754
333.2872  -0.04  0.02  -0.01  3.669  46.3512
334.4951  -0.00  0.00  -0.00  1.5637  9.6896
340.7882  -0.04  -0.02  -0.02  54.0342  46.3467
343.0071  -0.04  -0.01  -0.01  39.8844  129.4905
356.4415  -0.01  -0.06  -0.01  113.3955  38.7595
364.6943  -0.05  -0.02  -0.07  33.8565  116.4618
373.5014  -0.06  0.01  0.01  41.9724  106.2984
385.2853  -0.06  -0.00  -0.04  30.8739  132.2696
400.5333  -0.00  -0.00  -0.00  4.2635  3.1972
404.6255  0.02  -0.06  0.08  41.1322  153.5637
426.5939  -0.00  0.02  -0.01  10.6658  142.2664
434.6250  -0.00  -0.02  0.01  9.8564  61.2316
449.2653  0.06  0.47  -0.39  41.9303  215.9543
453.1130  0.06  0.20  -0.16  67.9602  262.4184
469.8760  0.02  -0.03  0.02  128.0297  656.586
480.4702  0.02  0.03  -0.03  8.4056  89.0787
488.2145  -0.00  -0.01  0.01  2.6461  19.6993
493.0946  -0.01  -0.04  0.02  42.7062  28.4549
499.6384  0.00  -0.01  0.00  16.3899  65.0829
506.3892  0.01  0.01  0.01  86.1926  247.0757
521.2583  -0.01  -0.03  0.01  40.0154  61.6264
522.4468  0.00  0.01  -0.04  11.6571  12.9217
525.1656  0.00  0.01  -0.02  151.8385  7.0484
528.4953  -0.03  -0.07  0.12  116.2778  769.4118
535.6064  -0.02  -0.07  -0.01  157.1179  270.288
548.2760  0.00  0.00  -0.04  26.5737  386.0974
563.7036  -0.00  -0.00  -0.01  7.3911  5.0278
566.9903  -0.00  -0.01  -0.01  1.4236  14.1188
570.5545  -0.00  0.02  0.01  4.2291  6.823
572.8935  -0.01  -0.00  0.00  56.6084  4.3467
574.1099  0.00  -0.00  0.00  13.046  2.2144
580.4957  -0.01  0.02  0.00  93.7078  94.6889
582.4239  0.01  -0.01  -0.02  53.1391  28.8268
593.6674  -0.00  0.01  0.00  30.5603  2.1667
600.7780  0.00  0.02  0.00  7.988  99.1144
602.1223  -0.00  -0.01  -0.00  21.8247  18.6265
613.6980  0.00  -0.01  -0.01  14.9693  1.2076
622.6227  0.02  0.28  0.32  3.2392  259.4352
624.0407  -0.00  -0.01  -0.01  13.6561  2.491
628.0814  -0.00  -0.09  -0.10  405.2051  176.5578
634.2899  -0.00  -0.10  -0.12  21.1827  41.7742
640.3708  -0.00  0.06  0.07  30.549  15.1341
643.7502  -0.00  -0.01  -0.01  6.9242  3.939
647.4059  -0.00  0.04  0.05  34.124  19.0766
649.5379  -0.00  -0.01  -0.01  74.0878  8.1702
650.1039  -0.00  0.00  0.01  0.2875  20.9019
652.3544  -0.00  0.02  0.02  72.2406  30.801
655.0364  -0.00  0.00  0.01  40.6342  15.4644
661.2966  0.00  -0.03  -0.04  37.1853  83.7987
666.2580  -0.00  0.00  0.00  2.8746  1.6559
671.1919  0.02  -0.04  -0.04  109.3425  550.7548
683.2556  0.00  0.01  0.02  37.7877  5.7983
685.2758  0.01  -0.01  -0.02  65.8457  15.6306
697.3531  -0.00  0.00  -0.00  20.5399  2.7903
700.7141  -0.00  0.00  -0.00  37.781  23.4391
713.7354  0.00  -0.00  -0.00  52.4859  3.794
718.9934  -0.00  -0.00  -0.00  18.9541  1.2005
734.0544  -0.00  0.01  0.02  463.9672  15.8755
740.8041  0.00  -0.00  -0.01  5.346  6.9122

