Atom: 6
Frequency   X       Y       Z       IR      Raman
203.7192  -0.07  -0.03  -0.01  46.4106  22.8241
208.5313  0.00  -0.02  0.00  3.9043  26.3438
209.9885  -0.06  0.00  -0.02  6.6199  2.3448
213.1970  0.04  -0.00  0.01  11.8209  9.6932
215.6168  -0.00  0.00  0.01  22.0425  12.6349
218.7353  -0.04  -0.05  -0.04  14.2819  26.3712
224.5885  -0.07  -0.03  0.02  3.1257  34.7949
227.3346  -0.03  -0.01  0.01  7.8787  20.0156
231.1520  0.00  0.01  0.05  4.9844  12.2932
239.0912  0.09  0.00  -0.00  1.4439  109.9553
239.5973  0.04  0.02  -0.02  28.3285  12.2755
248.8517  -0.08  -0.03  0.03  10.9711  120.4577
250.5842  0.09  0.02  0.02  27.0702  8.9971
256.0609  0.12  0.03  0.02  6.9492  3.156
257.5733  0.25  -0.11  -0.02  6.117  7.449
261.5897  -0.02  -0.02  0.04  13.6132  5.758
262.7440  -0.03  0.01  -0.01  3.652  2.9318
267.8161  -0.04  -0.00  0.01  20.663  3.526
270.1337  -0.03  0.03  -0.02  9.7034  65.4061
279.2133  0.07  -0.03  0.00  19.1111  26.8487
281.8418  0.13  -0.09  0.06  3.5261  11.925
288.8830  0.05  -0.01  0.02  1.5926  27.3107
298.4012  -0.01  -0.03  0.04  2.6968  73.6949
307.3971  0.13  0.01  0.02  5.6715  14.7022
314.9580  0.01  -0.01  -0.01  2.3873  14.5723
324.0541  0.01  0.02  0.00  22.6879  136.5692
329.3033  0.02  -0.03  0.01  49.1531  30.1767
333.0940  -0.03  0.02  -0.01  4.5236  49.5199
334.4763  -0.00  -0.06  -0.01  1.6852  8.1163
340.4812  -0.04  -0.02  -0.02  61.5094  52.4104
342.9260  -0.04  -0.01  -0.00  38.0311  125.5846
354.1398  -0.00  -0.06  -0.01  110.2441  37.6831
364.3669  -0.04  -0.02  -0.07  29.5534  120.8872
373.4150  -0.06  0.01  0.01  42.48  106.7407
385.2017  -0.06  -0.00  -0.04  30.0842  133.905
400.5311  -0.00  -0.02  0.00  4.2227  3.2085
404.5710  0.02  -0.06  0.08  40.5549  153.0613
426.5348  -0.00  0.02  -0.01  11.6565  145.6384
433.3144  -0.00  -0.02  0.00  9.6707  53.8774
449.0547  0.07  0.49  -0.40  36.9743  199.8724
452.1709  0.06  0.19  -0.15  68.972  259.1477
466.8031  0.01  -0.00  0.00  34.3351  126.5726
469.6696  0.02  -0.03  0.02  128.7104  652.3201
488.1856  -0.00  -0.01  0.01  2.8304  22.1213
492.1947  -0.01  -0.03  0.01  58.7484  26.4433
499.5031  -0.00  -0.01  0.01  22.61  83.362
503.1146  0.00  -0.00  0.03  67.063  130.0429
520.4980  -0.02  -0.05  0.04  37.6105  132.0654
522.2582  0.00  0.02  -0.05  4.0852  21.4387
524.6756  0.01  0.01  -0.03  205.4553  80.623
527.1597  -0.02  -0.06  0.08  57.8814  712.1236
535.4606  -0.01  -0.07  -0.02  144.6079  270.1012
548.1946  0.00  0.00  -0.04  22.8554  371.8988
563.6151  -0.00  -0.00  -0.01  7.9955  5.1815
566.9091  -0.00  -0.01  -0.01  1.4988  14.6717
570.4993  -0.00  0.02  0.01  5.1311  7.2159
572.6903  -0.01  -0.00  0.00  56.8533  5.1946
574.1031  -0.00  0.01  0.00  12.9228  2.4789
579.9294  -0.02  0.02  0.01  109.1307  110.5973
582.2316  0.01  -0.01  -0.01  37.266  15.7996
593.6662  -0.00  0.01  0.00  30.4401  2.2309
598.4505  0.00  0.02  0.01  8.1523  89.8367
602.0676  -0.00  -0.01  -0.00  21.9161  28.2026
613.6966  0.00  -0.01  -0.01  15.0124  1.2045
622.5855  0.02  0.27  0.32  3.3293  259.554
624.0388  -0.00  -0.01  -0.01  13.6753  2.4836
627.7280  -0.00  -0.09  -0.10  406.7301  168.1043
634.0425  -0.00  -0.09  -0.11  22.78  48.3661
639.9354  -0.00  0.06  0.08  31.3121  15.5762
643.7468  -0.00  -0.01  -0.01  7.1667  3.8987
647.3321  -0.00  0.04  0.05  36.6666  19.6013
649.4812  -0.00  -0.01  -0.01  74.2915  9.1411
650.1030  -0.00  0.00  0.01  0.2967  21.1457
652.0043  0.00  -0.02  -0.02  61.3222  32.2858
654.9758  0.02  -0.04  -0.04  41.1917  15.3938
661.1419  0.00  -0.03  -0.03  34.9642  80.133
666.2574  0.01  -0.01  -0.02  2.8457  1.5695
671.0980  0.02  -0.04  -0.04  108.1435  553.7672
682.6276  0.00  -0.02  -0.02  82.0706  13.0872
684.1251  0.01  -0.01  -0.02  23.0647  10.2544
697.3475  -0.00  -0.00  0.01  19.3529  2.9461
699.7317  -0.00  0.01  0.02  38.739  23.8102
713.7340  0.00  -0.01  -0.02  52.5891  3.7866
718.9928  -0.00  -0.00  0.01  18.9378  1.1956
731.5827  -0.00  0.01  0.02  453.1812  15.8235
740.7771  0.00  -0.01  -0.02  3.2904  6.2442

Atom: 97
Frequency   X       Y       Z       IR      Raman
203.7192  0.02  0.02  -0.02  46.4106  22.8241
208.5313  0.02  0.00  -0.02  3.9043  26.3438
209.9885  -0.00  0.01  0.02  6.6199  2.3448
213.1970  -0.04  0.01  0.05  11.8209  9.6932
215.6168  -0.02  -0.00  0.03  22.0425  12.6349
218.7353  0.00  0.04  -0.01  14.2819  26.3712
224.5885  -0.01  0.04  -0.01  3.1257  34.7949
