Atom: 6
Frequency   X       Y       Z       IR      Raman
204.1174  -0.03  0.01  -0.02  25.6182  1.2687
206.8469  0.04  -0.01  0.01  1.6737  0.4058
212.0141  -0.01  0.02  -0.00  17.313  0.7072
212.6178  -0.10  0.02  -0.03  4.388  0.6643
216.5954  0.01  -0.01  0.01  7.4288  0.8761
225.3486  -0.01  -0.02  0.01  4.712  0.7844
225.8632  -0.02  0.00  0.01  2.9754  1.3078
231.9655  0.04  -0.02  -0.01  28.5503  0.1784
236.8958  -0.09  -0.01  0.01  5.5564  2.3698
243.7144  -0.06  -0.02  -0.10  6.0655  2.3801
249.6516  0.01  -0.08  0.04  13.0174  0.741
251.2696  -0.04  -0.01  -0.01  11.3845  2.6726
257.2985  -0.03  0.01  -0.05  24.9613  3.735
260.1204  -0.05  -0.05  -0.02  14.0782  1.9993
261.8642  0.00  -0.01  -0.00  6.7694  1.3774
268.0753  0.04  -0.03  -0.03  8.2898  4.5696
271.6214  0.18  -0.03  -0.02  1.4202  0.1208
274.3523  -0.03  -0.01  0.01  11.2761  2.0372
277.9821  -0.06  0.00  0.02  5.1917  3.0238
282.5457  -0.13  0.03  -0.05  2.3223  1.3911
290.5949  0.17  -0.02  -0.03  7.248  1.6442
295.0742  -0.08  0.01  0.00  1.8805  2.1272
304.1429  0.02  0.05  -0.09  27.6107  3.0909
308.1819  0.19  -0.03  -0.02  5.0823  1.2865
312.1643  0.00  -0.02  0.01  7.4701  2.2223
324.5093  0.05  0.00  0.00  14.9708  1.3035
332.4323  0.01  0.00  -0.00  3.1291  1.5498
336.7712  -0.04  0.00  -0.03  16.6136  4.4491
338.2850  0.05  -0.05  0.03  20.034  0.6746
342.8096  -0.04  -0.01  -0.03  11.8484  1.2691
356.3821  -0.00  -0.07  -0.04  30.555  3.7284
362.3777  -0.01  -0.01  -0.01  31.952  4.6164
369.3410  -0.17  0.01  -0.06  55.0618  1.9944
372.7518  0.14  0.03  0.01  14.0492  6.5773
378.6824  -0.09  0.08  -0.05  61.374  6.7483
393.9067  -0.04  -0.12  -0.15  19.3194  5.3172
400.9622  -0.00  0.21  0.21  159.5458  2.3095
407.2663  -0.01  -0.04  -0.03  11.2341  1.6146
420.9077  0.01  -0.00  -0.00  63.6342  0.9883
428.8812  -0.01  0.04  0.02  23.0366  2.807
441.1678  -0.03  0.26  0.11  42.4104  5.6486
448.3899  0.00  -0.08  -0.04  48.6916  3.1379
476.9355  0.01  0.06  0.03  48.9458  7.8211
479.7868  -0.01  -0.04  -0.03  79.1133  2.6823
487.8317  -0.00  -0.00  0.00  4.4483  0.912
492.8471  0.03  0.12  -0.02  23.4191  4.4398
496.7495  -0.01  -0.02  0.01  3.6045  8.9725
504.4566  -0.01  0.01  0.01  7.1809  4.3859
511.1133  0.00  -0.00  -0.03  11.1721  7.5728
518.9730  0.04  0.07  -0.15  54.4306  7.2149
524.9130  0.01  0.03  -0.06  38.4153  3.2034
528.4431  0.01  -0.00  0.01  109.2673  1.1232
529.3934  -0.01  -0.01  0.00  30.7561  8.3548
540.1713  0.04  0.01  -0.11  105.8206  13.9202
549.8193  -0.04  -0.18  0.26  140.9185  54.6769
556.3324  0.02  0.13  0.14  133.6022  3.9472
567.4603  0.01  0.00  -0.06  24.1026  6.1191
568.4717  0.00  0.00  0.01  3.722  3.1947
575.1253  -0.03  -0.06  0.15  69.4938  8.5742
585.4476  0.03  0.06  -0.07  32.0068  7.9597
590.4266  0.02  0.02  -0.04  41.3399  10.4067
591.4031  -0.02  -0.03  0.05  58.6034  4.4879
594.5971  -0.03  -0.08  0.09  157.7199  9.1288
599.4697  -0.01  -0.01  0.02  116.7896  13.4979
602.3669  -0.00  -0.00  -0.03  180.7319  4.7512
603.8382  -0.02  -0.10  0.10  132.0969  3.9698
608.3117  -0.00  -0.01  0.02  45.6176  1.4908
618.9847  -0.00  -0.00  0.01  32.8609  2.1033
622.4511  -0.01  -0.01  0.01  35.6598  1.2491
629.9968  0.02  -0.04  0.03  93.1504  35.3188
633.5541  0.00  0.00  0.00  119.0049  18.6988
635.2871  0.01  0.00  -0.01  28.8934  3.003
636.2200  -0.00  0.00  0.02  214.4301  3.4405
645.4675  -0.00  -0.00  0.01  23.4887  0.8363
650.5738  0.00  0.00  -0.00  0.0655  11.9598
653.5515  0.01  0.01  -0.03  84.4414  8.077
656.5504  -0.00  -0.00  0.00  20.6798  4.4307
660.9889  0.01  0.02  -0.04  31.5866  3.024
662.9308  0.01  0.02  -0.02  60.4739  1.4342
665.3368  -0.01  -0.03  0.03  20.5344  1.2419
667.2940  0.02  0.07  -0.07  61.3747  8.7805
679.0051  -0.01  -0.02  0.01  40.8079  7.2003
684.1444  0.00  0.01  -0.01  46.5745  15.6249
686.1917  0.00  -0.00  -0.00  96.5232  3.6109
707.1741  0.00  0.00  0.00  8.4536  2.4947
714.2219  -0.01  -0.00  0.01  10.5286  2.6412
739.4587  0.00  0.00  -0.00  15.197  1.7066

