Atom: 39
Frequency   X       Y       Z       IR      Raman
201.5787  -0.07  0.03  0.02  14.2094  17.4639
203.1989  0.02  0.01  0.00  2.2237  2.2763
206.4801  0.02  -0.01  0.00  1.5285  5.4443
207.7291  0.01  0.02  -0.02  2.4455  3.5778
209.2565  0.02  -0.00  -0.00  6.9683  3.4683
215.9196  0.02  0.03  0.02  3.0733  3.1338
217.7652  0.04  0.02  -0.04  11.213  5.0753
223.9088  0.02  -0.05  0.02  4.7348  1.4954
227.4830  -0.05  0.10  -0.01  16.3198  1.7027
234.4390  0.02  -0.01  0.00  20.4678  12.6571
236.1108  -0.01  -0.07  -0.01  12.6503  3.0755
241.6929  0.00  0.02  0.00  5.8609  15.6397
245.1391  0.02  -0.05  -0.01  20.8911  0.6343
247.5233  -0.08  0.09  0.03  5.8659  3.6847
254.0485  -0.05  0.12  0.02  5.2093  1.59
257.1373  -0.10  0.15  -0.07  4.9864  8.4241
263.1082  -0.09  0.11  0.02  1.2298  3.7429
264.6264  0.06  -0.06  -0.04  2.0534  6.0202
270.6691  -0.11  0.18  -0.11  5.102  8.035
280.6869  -0.07  0.11  0.01  30.9916  4.4277
288.6181  0.05  -0.03  0.07  11.6366  8.4012
296.8586  -0.03  0.08  0.02  24.6501  3.4963
299.4001  -0.06  -0.07  -0.01  8.3819  32.4345
302.3237  0.12  -0.04  0.02  41.874  1.0202
303.7117  -0.02  -0.02  -0.03  27.0753  4.4453
309.5966  0.00  -0.05  0.06  15.7214  34.8115
317.1359  0.11  0.02  -0.04  31.3005  34.0878
321.1288  -0.03  -0.06  0.03  1.4196  39.5863
331.9555  0.00  -0.02  0.00  19.5917  2.0136
333.7240  0.01  -0.00  -0.01  4.8876  1.6099
340.2748  -0.01  0.01  -0.00  34.602  0.7674
341.5874  0.03  -0.04  -0.08  2.7154  4.2278
358.5423  0.01  -0.06  -0.00  15.9943  21.4582
364.2143  -0.05  -0.01  0.17  16.8224  7.6159
370.6579  0.00  -0.08  0.05  2.0189  12.2733
375.1848  -0.01  -0.00  -0.02  14.8754  6.1172
380.8395  0.00  -0.01  0.01  62.8729  2.3892
381.7835  -0.01  0.04  -0.04  14.862  10.967
390.1445  -0.02  -0.02  0.04  45.4689  3.1179
397.9913  0.02  0.03  -0.05  86.9683  4.3442
409.4810  -0.00  -0.01  0.01  12.803  2.1268
425.4459  0.02  -0.01  0.04  29.823  31.1677
428.9077  -0.00  -0.05  0.04  23.7534  19.4747
443.0293  -0.10  -0.07  -0.03  51.7648  161.2322
457.6540  0.00  -0.00  0.00  67.0829  5.5996
483.4306  0.09  0.06  0.05  56.3876  178.7785
487.6889  0.01  0.01  0.01  6.6761  4.7918
490.1869  0.01  -0.00  0.01  1.0292  31.0571
497.0693  0.03  0.03  0.01  48.392  59.7848
502.6541  -0.04  -0.02  -0.01  36.7719  6.4375
505.4172  -0.00  -0.00  -0.01  130.7009  7.2187
510.0690  -0.00  0.00  -0.01  18.8916  9.1942
515.0289  0.17  0.11  0.10  57.3516  8.4635
520.9887  -0.00  -0.01  -0.01  27.5754  1.543
528.3829  0.23  0.18  0.14  41.4619  26.0432
544.2544  -0.05  -0.03  -0.03  130.3611  26.2586
550.9080  0.00  0.00  0.02  70.6887  22.1148
559.0153  -0.03  -0.02  -0.03  58.2212  5.4959
565.5506  -0.01  -0.00  -0.01  51.8259  10.5634
567.0196  0.01  -0.01  -0.00  0.2183  1.6002
575.9090  0.02  0.02  0.01  54.4366  2.7458
579.9367  -0.02  -0.01  0.01  34.8331  17.2179
587.0241  0.21  0.16  0.11  155.1823  21.6153
591.1482  -0.01  -0.01  -0.01  30.1989  1.4854
595.8285  -0.01  -0.01  -0.00  32.373  23.727
597.5731  0.03  0.02  -0.02  97.9483  14.5701
605.3023  0.07  0.04  0.01  71.4903  59.4945
609.9928  -0.06  -0.03  -0.00  42.0089  58.7958
615.2319  0.03  0.02  0.00  13.4207  6.977
615.9430  -0.04  -0.02  -0.00  44.3494  12.8406
622.8967  0.02  0.00  0.00  37.0155  8.6849
624.3895  -0.02  -0.00  -0.00  96.6548  32.2017
628.1037  -0.00  -0.00  -0.01  34.7518  34.9888
632.8642  -0.00  -0.01  0.01  10.6859  21.4818
641.4282  -0.01  -0.00  -0.00  149.6733  4.2901
646.2746  -0.00  -0.00  0.00  22.573  1.1178
650.2837  -0.01  -0.00  -0.00  10.4053  6.4121
650.5436  0.00  0.00  0.01  7.527  14.912
651.8109  0.01  0.00  -0.00  18.5632  4.8531
655.9915  -0.00  0.00  -0.00  144.9812  9.8741
666.3176  -0.00  -0.00  0.00  1.3471  0.4444
672.7671  0.00  0.00  -0.00  44.8925  2.4866
679.2571  -0.01  -0.00  0.00  14.1112  5.1795
679.4743  0.00  0.00  -0.00  61.3673  2.0337
684.0234  0.01  0.01  -0.01  172.9572  4.9476
692.5166  -0.01  0.00  0.02  13.1384  6.9578
706.0046  0.00  0.00  -0.00  5.1826  1.6429
717.5146  -0.00  0.00  0.01  63.1147  12.6536
733.0497  -0.23  -0.08  0.64  8.2441  35.6175
745.9786  -0.00  -0.00  0.00  4.9518  1.9326
748.8208  0.00  0.00  -0.01  9.9863  1.8339

Atom: 40
Frequency   X       Y       Z       IR      Raman
201.5787  -0.05  -0.07  0.03  14.2094  17.4639
203.1989  -0.01  0.08  -0.00  2.2237  2.2763
206.4801  0.04  -0.08  0.01  1.5285  5.4443
207.7291  0.07  -0.05  0.01  2.4455  3.5778
209.2565  -0.00  0.02  -0.01  6.9683  3.4683
215.9196  0.08  -0.05  0.05  3.0733  3.1338
217.7652  0.11  -0.02  -0.01  11.213  5.0753
223.9088  0.02  -0.04  0.03  4.7348  1.4954
227.4830  0.04  0.10  0.02  16.3198  1.7027
