Atom: 40
Frequency   X       Y       Z       IR      Raman
201.3831  -0.00  0.03  0.04  0.4876  0.1226
203.3618  -0.01  0.00  0.01  0.3046  1.2144
205.6240  0.04  -0.02  0.05  4.6426  3.2762
207.7925  0.03  0.00  -0.09  6.0525  2.9633
211.7425  0.00  -0.01  0.01  0.605  0.6439
215.2690  0.06  -0.03  0.06  5.7204  1.2341
219.6000  -0.04  0.02  -0.03  29.9334  1.4979
221.1509  -0.01  -0.03  0.05  0.0734  1.4275
225.0395  0.01  -0.02  0.02  3.2536  3.151
231.5548  -0.01  0.03  -0.07  4.3573  2.1784
234.5540  0.00  -0.03  0.04  11.555  1.1625
238.0279  -0.00  -0.00  0.16  12.2367  1.1437
244.8064  -0.05  0.02  -0.08  12.4229  2.728
246.3903  -0.01  0.00  0.03  19.1409  1.8724
250.2340  -0.02  -0.04  0.13  30.259  1.9108
257.4869  -0.05  -0.00  0.11  4.2387  1.8833
259.3317  0.04  -0.07  0.06  21.3566  1.2703
265.9941  0.01  0.00  -0.01  5.0452  1.1684
271.6806  0.09  -0.04  -0.06  12.4932  9.3254
275.0503  0.10  -0.12  -0.14  2.1762  4.5639
275.2474  0.06  0.03  0.04  46.1182  1.7243
284.1288  0.04  0.03  0.04  5.7437  0.75
289.3730  0.05  -0.06  -0.05  25.182  0.9931
296.6223  -0.01  0.02  0.03  26.7147  1.9043
300.9600  -0.01  0.05  -0.02  11.0563  1.4794
305.2256  0.00  0.01  0.03  7.5886  0.3362
310.9646  0.04  -0.08  -0.15  12.423  1.6132
316.1671  0.05  -0.06  -0.05  52.5669  2.253
317.6805  0.05  -0.06  -0.06  5.9021  12.1921
321.6137  0.00  -0.02  0.06  21.5803  13.7521
328.2163  -0.11  0.07  0.02  22.2559  0.9516
334.1131  0.01  -0.01  -0.02  3.5327  1.6686
340.8043  -0.03  -0.03  -0.04  34.1399  3.0454
343.5840  -0.15  0.05  0.04  23.2939  2.7769
346.1324  0.19  0.01  0.15  35.6423  3.3571
356.7399  0.01  -0.07  -0.07  18.4997  3.5655
363.4685  0.00  -0.02  0.00  14.3354  1.0153
368.1133  -0.18  0.01  -0.07  2.1246  4.6001
373.0705  0.04  -0.02  0.01  47.2901  6.9066
377.3801  -0.17  0.06  -0.09  30.7862  1.1472
388.5341  0.26  -0.05  0.05  35.6881  7.206
399.4478  -0.04  0.00  -0.01  85.008  1.7261
410.3162  0.01  0.02  -0.01  11.8047  0.7867
420.0326  0.05  -0.04  0.11  95.3957  5.7689
424.1841  -0.00  -0.03  0.03  58.522  5.1881
454.2843  -0.00  -0.06  -0.00  103.4461  13.8589
477.2846  0.00  0.01  0.00  67.1257  1.6426
483.5627  0.00  0.03  -0.03  11.8155  36.1381
492.7702  -0.00  0.01  0.00  22.2699  0.4364
499.6382  0.00  0.00  0.00  71.6818  5.7812
502.2177  -0.01  0.01  -0.01  43.862  6.7173
508.9199  0.00  0.01  0.00  45.8582  8.0479
519.8850  0.02  -0.03  0.00  76.0662  15.0892
526.2505  -0.02  0.01  0.00  18.8725  26.7779
538.2912  0.01  -0.00  -0.00  105.6749  4.9014
544.3470  0.00  -0.00  -0.00  49.5499  3.5608
554.1253  0.01  0.01  -0.01  306.3268  3.5878
560.1892  -0.01  -0.01  0.01  146.7757  12.673
565.1480  -0.00  -0.01  0.01  48.1465  13.3039
569.7140  0.00  0.01  0.01  1.2024  2.0642
576.5695  0.00  -0.01  -0.00  21.1256  17.4541
578.3704  0.00  0.02  -0.01  95.625  1.1177
580.2826  0.00  0.00  0.00  36.1231  0.739
586.9430  0.00  -0.01  0.01  25.754  2.9055
590.9482  -0.00  -0.00  0.00  16.5154  1.1089
591.8194  0.00  0.00  -0.00  11.5477  2.323
594.1101  -0.01  0.00  -0.00  88.5032  4.8754
600.0937  -0.01  0.00  -0.01  28.1475  25.1604
601.9941  -0.00  0.00  -0.00  21.4882  4.4876
614.4469  0.03  0.02  -0.01  165.6019  10.0189
627.3900  0.00  -0.00  0.00  16.3167  1.8824
630.6235  0.00  0.02  0.02  38.3721  2.6359
635.5585  -0.00  -0.01  -0.00  37.503  7.5034
639.6378  0.00  0.01  -0.01  36.7902  2.2797
642.2325  0.01  -0.00  0.00  197.288  34.3546
648.0116  0.00  0.00  0.00  0.2052  1.9265
650.4045  -0.00  0.00  0.00  1.4215  13.3645
652.3175  0.01  0.01  -0.00  5.278  16.8075
655.1920  0.01  -0.01  -0.00  41.2877  10.7629
656.3627  -0.00  -0.01  0.00  1.744  1.6853
659.9401  0.00  -0.00  0.00  45.5444  4.811
664.6819  -0.01  0.01  0.00  150.5605  44.9674
666.8150  0.00  0.00  0.00  4.4561  0.6735
667.0045  -0.00  0.01  0.00  6.4612  16.3006
677.3704  0.00  0.01  -0.00  20.5193  12.3737
694.2225  -0.00  0.03  -0.03  74.3209  205.4866
697.8002  0.00  0.00  -0.00  5.6961  2.2463
700.9546  0.00  -0.00  0.01  31.265  7.7195
737.5988  -0.00  -0.00  -0.00  14.5526  1.4599
749.1237  0.01  0.03  -0.01  23.4563  1.4706

