Atom: 39
Frequency   X       Y       Z       IR      Raman
201.1768  0.01  -0.01  0.01  0.3829  0.2131
201.8741  0.08  -0.05  0.00  3.8422  3.6015
202.7568  0.02  -0.03  0.01  1.237  0.4066
205.7746  -0.08  0.03  -0.06  6.1216  2.4452
211.0346  0.04  0.00  0.01  3.4465  0.8702
211.5026  -0.09  0.02  -0.03  11.9256  0.7817
215.6071  0.01  0.04  0.04  20.7518  1.4395
218.1710  0.01  0.02  0.02  2.2829  4.1148
223.6714  -0.02  -0.02  0.02  3.9335  2.8266
229.2627  -0.04  -0.00  -0.01  4.4178  0.8366
233.3410  0.07  0.01  0.03  12.182  0.8355
236.3896  -0.05  -0.03  -0.03  8.6737  1.4375
240.2589  -0.08  -0.01  -0.01  32.1894  1.884
244.9556  0.02  -0.01  -0.05  7.1815  3.4388
248.9710  -0.07  -0.02  -0.04  25.5796  2.0637
256.9386  -0.05  -0.03  -0.04  3.3718  1.9383
258.2236  -0.10  0.02  -0.02  17.2308  1.1313
265.9603  -0.01  -0.01  0.01  5.407  1.1802
270.8140  -0.01  -0.06  0.08  13.0368  7.8437
273.9112  -0.11  0.07  -0.01  42.9348  1.8758
274.8806  0.04  -0.00  -0.03  5.8423  5.3823
283.9967  -0.02  -0.01  -0.01  5.1818  0.8246
287.2643  0.17  -0.11  0.02  23.4578  1.4317
295.7928  0.02  -0.02  0.03  24.0317  1.9693
300.7444  -0.04  0.02  0.01  12.3313  1.3655
304.5047  0.05  -0.05  -0.02  9.547  0.4389
309.6316  -0.13  0.07  0.07  8.5073  1.335
315.2205  -0.08  0.05  0.02  18.2446  12.1233
315.8273  0.03  -0.03  -0.02  42.5856  4.7913
321.3342  0.01  0.02  0.04  23.0365  12.5726
327.5747  -0.09  -0.01  -0.02  23.7842  0.7582
333.9742  0.03  -0.01  -0.00  4.5892  1.5413
339.4001  -0.13  0.09  -0.07  13.8071  2.6987
342.0810  -0.08  0.02  -0.09  46.9471  2.5125
345.1928  -0.10  0.02  0.01  26.2091  3.533
355.8556  0.04  -0.06  0.03  22.2637  2.9791
361.4784  -0.01  0.01  -0.01  11.3854  1.329
367.6542  0.02  0.04  -0.06  1.7879  4.2776
371.5828  -0.08  0.04  -0.00  49.9284  6.2741
377.2899  0.02  0.01  -0.02  30.9981  0.933
386.8917  0.10  0.04  -0.09  31.6086  7.4747
397.9909  0.00  -0.00  0.01  86.6435  1.7011
410.1815  0.01  0.02  -0.02  11.1694  0.863
419.1479  -0.05  -0.08  0.09  95.7187  4.9561
424.0494  -0.01  -0.02  0.02  51.1699  5.0673
454.1395  -0.02  -0.03  -0.02  102.5505  12.7464
470.5574  -0.20  -0.30  0.31  31.4  33.2861
477.4909  -0.01  -0.02  0.03  58.4357  1.901
484.9561  -0.01  -0.02  0.04  121.6311  9.0403
492.6857  0.00  0.01  -0.02  19.1419  0.8968
501.9024  -0.02  -0.01  0.01  24.8121  5.2634
506.6613  -0.04  -0.04  0.05  12.5216  13.451
518.5540  0.01  -0.03  0.07  76.9893  16.6437
526.0802  -0.01  -0.00  -0.01  11.0684  25.5746
535.3295  0.00  -0.01  0.00  109.7377  3.3568
