Atom: 39
Frequency   X       Y       Z       IR      Raman
200.6553  0.02  -0.02  -0.02  3.164  4.1247
202.1960  0.02  -0.02  0.01  2.8849  0.5179
204.7517  0.01  -0.01  0.01  1.6613  0.3163
211.1029  -0.01  0.02  -0.01  1.1216  0.3722
213.7703  0.05  -0.02  -0.00  0.8042  1.1774
214.8466  0.00  -0.00  0.02  7.8489  2.5703
224.4366  0.00  -0.00  -0.01  4.0156  2.3087
227.7777  -0.05  -0.00  0.01  24.8681  0.4242
233.8974  0.02  0.02  0.05  7.0931  3.6788
235.4437  0.00  -0.04  -0.04  9.69  2.713
239.9815  0.05  -0.00  0.04  5.1375  3.0577
247.0492  -0.08  0.01  0.00  30.3467  3.9195
250.4028  -0.08  -0.04  0.02  8.5645  1.3905
255.7048  -0.02  0.01  -0.05  9.7569  1.2799
262.2922  -0.03  -0.03  -0.01  10.0861  6.3157
264.9277  0.00  -0.02  0.00  8.4392  2.0707
265.9583  -0.03  0.03  0.01  10.2567  0.9106
266.9208  -0.06  -0.02  0.02  14.7274  1.1849
269.5511  -0.01  -0.01  0.01  3.7655  6.318
278.4852  -0.05  0.01  -0.00  43.387  2.7547
280.5695  0.11  -0.07  0.02  17.3544  2.1341
282.7175  -0.16  0.09  -0.01  36.157  1.6875
286.8719  0.12  -0.07  0.02  28.8234  2.5816
299.7976  -0.10  0.03  -0.01  13.464  2.2319
301.7082  -0.04  0.01  -0.02  7.2054  6.8134
302.7576  0.10  -0.05  0.00  8.46  0.4751
309.6594  0.16  -0.05  -0.05  12.4083  8.0858
317.4359  0.09  0.00  0.00  9.3946  4.1573
320.0419  0.03  0.01  0.00  5.6405  1.2022
329.2068  0.11  0.01  -0.05  2.7421  1.9588
332.8589  0.03  -0.00  -0.00  2.6131  1.5035
336.3553  0.00  0.00  -0.02  15.512  2.4882
345.4075  0.03  -0.02  0.00  16.0983  4.0714
349.4142  -0.13  0.06  -0.09  10.0039  2.7027
351.0855  -0.01  0.01  -0.02  30.2461  5.9162
356.3506  0.02  0.01  -0.03  8.3418  4.5281
363.1151  0.11  -0.05  0.05  15.6648  1.4564
370.4086  -0.00  -0.10  0.07  61.5361  2.0804
386.2393  -0.02  0.03  0.01  54.9413  4.1362
387.7181  -0.03  0.03  -0.01  99.3099  2.2158
410.0357  -0.00  0.01  0.01  39.0221  1.0253
411.6582  -0.00  0.01  0.04  43.4947  2.9683
413.2711  -0.01  0.02  0.04  39.7155  6.8537
426.5268  -0.00  0.01  0.01  39.0339  4.4075
438.3855  0.01  -0.15  -0.13  46.7188  13.3222
469.6334  -0.06  -0.25  -0.19  80.9109  9.78
483.6002  0.01  0.01  0.00  59.0739  0.5937
493.8025  -0.04  -0.09  -0.03  48.9302  1.396
495.7498  0.08  0.20  0.04  27.0633  5.8231
503.8581  0.02  0.06  -0.01  9.8215  5.9157
510.8011  -0.00  0.01  -0.06  10.8884  8.9454
519.3739  -0.11  -0.11  0.27  54.0423  25.0754
525.4132  -0.00  -0.05  -0.04  102.6612  3.5387
533.0769  0.01  0.01  0.01  7.3302  1.1431
537.2446  0.01  0.03  -0.05  31.8205  17.8355
538.5564  0.01  -0.00  -0.02  27.5745  1.9953
545.8946  -0.06  -0.10  0.06  113.4644  18.7149
561.7693  -0.01  -0.02  -0.01  98.4147  19.6539
562.8517  -0.01  -0.08  -0.14  147.0827  10.9055
566.6883  -0.00  -0.02  -0.01  30.4764  0.8802
569.4081  -0.01  0.01  0.04  148.6591  6.4201
573.6784  0.09  0.11  -0.15  76.8514  16.6877
583.1128  -0.12  -0.21  0.05  210.9524  2.6542
585.8526  0.02  0.03  0.00  12.695  2.0659
