Atom: 110
Frequency   X       Y       Z       IR      Raman
200.1917  -0.03  0.04  -0.06  2.7175  1.9929
202.6885  -0.02  0.02  0.03  6.6685  2.6393
204.5122  -0.00  0.02  0.04  1.0263  1.4457
205.6160  -0.00  0.01  0.03  3.6359  0.3435
212.8330  -0.01  -0.00  0.02  1.2324  0.6448
214.9568  0.03  -0.01  0.01  3.4548  0.7076
216.7312  -0.03  -0.01  0.01  2.6112  3.1203
225.2518  -0.01  0.02  -0.01  1.835  2.0143
229.4163  -0.01  -0.02  0.03  30.2619  0.5893
234.5830  0.15  -0.08  -0.00  8.2804  4.2377
237.1191  -0.09  -0.00  -0.01  7.8035  2.3377
244.3496  0.16  -0.06  0.03  2.0111  4.4075
248.1831  -0.17  0.10  -0.00  32.1079  1.9364
252.6249  -0.06  0.01  -0.02  12.1891  1.822
256.8630  -0.08  0.04  0.12  9.0548  1.4325
262.7611  0.04  -0.10  0.14  9.4067  6.0496
264.9896  0.03  0.04  -0.08  7.2847  1.9421
266.8728  -0.14  -0.02  0.15  17.8906  0.5171
268.0908  -0.02  0.04  0.05  11.3791  1.3839
271.2983  -0.00  -0.02  0.00  0.7819  6.7711
281.4879  -0.00  -0.01  -0.06  46.9043  2.2352
282.4835  -0.00  0.05  0.13  21.727  3.8617
286.2463  -0.08  0.06  -0.03  39.3975  2.3118
292.5796  -0.06  0.02  0.04  21.4464  1.5584
300.4702  -0.07  0.06  -0.01  10.8174  1.1397
302.2261  0.16  -0.02  -0.00  9.3862  7.7792
304.8992  -0.14  0.09  -0.05  13.3509  1.0255
312.5036  0.13  -0.03  0.10  4.9669  7.55
318.0168  -0.03  0.07  0.29  10.3068  3.9462
320.4982  0.08  0.03  0.06  5.0129  0.8565
330.3761  -0.03  -0.03  0.02  3.4293  1.7666
333.0500  0.02  -0.00  0.01  2.2392  1.6748
336.5490  0.04  -0.03  -0.01  15.7397  2.6055
346.1215  0.04  -0.03  -0.02  11.4553  4.798
351.6541  0.02  0.01  -0.05  16.4489  1.9173
352.4808  -0.03  -0.00  0.02  37.2002  5.5014
356.8246  0.02  0.01  -0.00  8.1785  4.3848
366.2979  0.01  0.02  -0.04  11.4913  2.6157
371.6606  0.13  -0.00  0.25  62.165  1.4302
386.5798  0.05  0.11  0.04  13.5175  4.5079
391.7889  -0.01  -0.01  0.01  139.4329  1.7458
410.5871  0.00  -0.02  0.02  37.1646  1.047
411.9607  -0.00  0.04  -0.03  34.0054  2.1898
413.5807  0.01  -0.04  0.06  48.3924  7.5382
426.5574  -0.01  -0.02  -0.00  37.9898  4.4013
439.8095  0.00  -0.12  0.00  56.55  14.2915
483.4738  0.01  0.03  -0.01  68.174  1.0264
484.4011  -0.01  -0.05  0.03  59.3814  7.8621
494.2924  0.00  -0.01  0.01  55.5231  0.0738
503.4243  -0.02  -0.02  -0.00  3.1559  10.8118
509.6663  0.03  0.06  -0.03  16.5369  4.5713
511.1419  0.00  -0.01  0.01  8.2535  12.2218
524.6880  -0.03  -0.04  0.00  55.8732  12.5789
528.0089  -0.02  -0.09  -0.00  87.6005  6.8106
533.3812  -0.02  -0.05  0.01  6.2955  0.8575
539.7275  -0.01  -0.01  -0.00  23.841  13.2027
542.0694  -0.00  0.00  0.01  8.3984  2.1257
549.8679  0.03  0.03  0.01  141.9603  23.3422
564.8502  0.02  0.06  -0.01  140.0345  12.3512
566.2257  0.01  0.03  0.00  13.3078  1.5168
569.8107  0.05  0.14  -0.02  161.3047  4.9085
573.6887  -0.02  -0.05  0.01  91.1957  9.1076
583.3975  0.04  0.07  0.02  258.577  36.9425
585.8130  0.01  0.01  0.01  5.2948  2.5509
590.2408  -0.01  -0.01  -0.03  92.7713  1.9335
595.7175  0.01  0.01  0.01  75.2052  2.57
597.2317  0.01  0.01  0.01  6.9245  0.9157
597.9081  -0.00  -0.01  0.00  12.9941  1.9643
600.6611  0.02  0.04  0.01  16.8005  3.602
606.8936  0.05  0.11  0.00  19.3471  2.78
609.9160  0.09  0.19  -0.02  121.9036  10.1819
625.7882  0.01  0.01  -0.00  23.7146  1.0786
629.1702  0.05  0.11  0.00  50.208  22.2691
637.5953  0.11  0.25  0.01  126.1125  3.9605
639.9271  -0.09  -0.13  -0.01  153.6282  11.4359
646.3414  -0.00  -0.00  0.01  5.5295  9.409
648.3972  0.03  0.04  0.00  35.9664  22.5563
649.7704  -0.01  -0.01  0.01  26.1721  11.8511
650.0499  -0.00  -0.01  0.00  3.2522  15.8991
651.4546  -0.01  -0.01  0.00  23.81  17.2126
654.4204  0.06  0.13  -0.00  67.3788  18.7957
663.7582  -0.00  -0.01  -0.01  41.6916  2.6816
665.8307  0.01  0.01  0.00  84.3114  6.1315
666.8668  -0.00  -0.01  -0.00  2.5364  0.2631
668.9885  -0.00  -0.01  -0.01  43.0129  2.6508
671.2937  0.01  0.01  0.00  34.1995  8.4781
679.1973  0.02  0.05  -0.00  131.9309  32.5994
699.2740  -0.00  -0.01  -0.01  21.0719  2.8092
702.3380  -0.02  0.00  -0.02  0.8455  1.5477
739.0624  -0.01  0.00  -0.00  5.3214  1.2127

