Energy (eV)	Intensity
8991.1	     0
8991.1	0.173204
8991.1	     0
8991.31	     0
8991.31	     0
8991.31	     0
8991.31	     0
8991.31	0.453517
8991.31	     0
8991.36	     0
8991.36	     0
8991.36	     0
8991.37	     0
8991.37	0.594004
8991.37	     0
8991.43	     0
8991.43	     0
8991.43	     0
8991.43	     0
8991.43	0.262978
8991.43	     0
8991.85	     0
8991.85	     0
8991.85	     0
8991.86	     0
8991.86	0.286483
8991.86	     0
8992.27	     0
8992.27	     0
8992.27	     0
8992.27	     0
8992.27	0.660904
8992.27	     0
8992.3	     0
8992.3	     0
8992.3	     0
8992.3	     0
8992.3	0.685557
8992.3	     0
8992.32	     0
8992.32	     0
8992.32	     0
8992.32	     0
8992.32	0.137358
8992.32	     0
8992.41	     0
8992.41	     0
8992.41	     0
8992.42	     0
8992.42	0.297935
8992.42	     0
8992.43	     0
8992.43	     0
8992.43	     0
8992.43	     0
8992.43	0.163533
8992.43	     0
8992.47	     0
8992.47	     0
8992.47	     0
8992.47	     0
8992.47	0.409348
8992.47	     0
8992.54	     0
8992.54	     0
8992.54	     0
8992.54	     0
8992.54	0.151995
8992.54	     0
8992.65	     0
8992.65	     0
8992.65	     0
8992.65	     0
8992.65	0.17507
8992.65	     0
8992.93	     0
8992.93	     0
8992.93	     0
8992.93	     0
8992.93	0.846707
8992.93	     0
8993.11	     0
8993.11	     0
8993.11	     0
8993.11	     0
8993.11	0.10817
8993.11	     0
8993.3	     0
8993.3	     0
8993.3	     0
8993.3	     0
8993.3	0.313318
8993.3	     0
8993.35	     0
8993.35	     0
8993.35	     0
8993.35	     0
8993.35	0.0520618
8993.35	     0
8993.51	     0
8993.51	     0
8993.51	     0
8993.51	     0
8993.51	0.231494
8993.51	     0
8993.6	     0
8993.6	     0
8993.6	     0
8993.6	     0
8993.6	0.0451164
8993.6	     0
8993.64	     0
8993.64	     0
8993.64	     0
8993.64	     0
8993.64	0.0540995
8993.64	     0
8993.73	     0
8993.73	     0
8993.73	     0
8993.74	     0
8993.74	0.558502
8993.74	     0
8993.94	     0
8993.94	     0
8993.94	     0
8993.94	     0
8993.94	0.529228
8993.94	     0
8994.02	     0
8994.02	     0
8994.02	     0
8994.03	     0
8994.03	0.0827134
8994.03	     0
8994.19	     0
8994.19	     0
8994.19	     0
8994.19	     0
8994.19	0.208649
