Energy (eV)	Intensity
8995.6	     0
8995.6	0.530835
8995.6	     0
8995.62	     0
8995.62	0.707857
8995.62	     0
8995.65	     0
8995.65	0.947071
8995.65	     0
8995.66	     0
8995.66	1.40951
8995.66	     0
8995.79	     0
8995.79	0.057687
8995.79	     0
8995.81	     0
8995.81	0.0594951
8995.81	     0
8995.83	     0
8995.83	0.259706
8995.83	     0
8995.86	     0
8995.86	0.377147
8995.86	     0
8996.02	     0
8996.02	0.571618
8996.02	     0
8996.05	     0
8996.05	0.968108
8996.05	     0
8996.64	     0
8996.64	0.657373
8996.64	     0
8996.66	     0
8996.66	1.34419
8996.66	     0
8996.78	     0
8996.78	0.104411
8996.78	     0
8996.79	     0
8996.79	0.0972069
8996.79	     0
8996.89	     0
8996.89	0.297217
8996.89	     0
8996.9	     0
8996.9	0.494644
8996.9	     0
8997.03	     0
8997.03	0.256176
8997.03	     0
8997.04	     0
8997.04	0.412218
8997.04	     0
8997.14	     0
8997.14	0.0426482
8997.14	     0
8997.14	     0
8997.14	0.0455182
8997.14	     0
8997.39	     0
8997.39	0.175099
8997.39	     0
8997.4	     0
8997.4	0.349451
8997.4	     0
8997.53	     0
8997.53	0.129265
8997.53	     0
8997.53	     0
8997.53	0.169674
8997.53	     0
8997.63	     0
8997.63	0.0865879
8997.63	     0
8997.64	     0
8997.64	0.172918
8997.64	     0
8997.73	     0
8997.73	0.0035014
8997.73	     0
8997.75	     0
8997.75	0.0456043
8997.75	     0
8997.83	     0
8997.83	0.108716
8997.83	     0
8997.9	     0
8997.9	0.151134
8997.9	     0
8998.02	     0
8998.02	0.429754
8998.02	     0
8998.02	     0
8998.02	0.672757
8998.02	     0
8998.15	     0
8998.15	0.0187124
8998.15	     0
8998.16	     0
8998.16	0.0417872
8998.16	     0
8998.27	     0
8998.27	0.03444
8998.27	     0
8998.28	     0
8998.28	0.0477855
8998.28	     0
8998.33	     0
8998.33	0.290071
8998.33	     0
8998.33	     0
8998.33	1.09809
8998.33	     0
8998.6	     0
8998.6	0.0661822
8998.6	     0
8998.61	     0
8998.61	2.68641
8998.61	     0
8998.63	     0
8998.63	0.399647
8998.63	     0
8998.64	     0
8998.64	0.893087
8998.64	     0
8998.89	     0
8998.89	0.386589
8998.89	     0
8998.9	     0
8998.9	0.806097
8998.9	     0
8998.97	     0
8998.97	0.285421
8998.97	     0
8998.97	     0
8998.97	0.383604
8998.97	     0
8998.99	     0
8998.99	0.762789
8998.99	     0
  8999	     0
  8999	1.64012
  8999	     0
8999.08	     0
8999.08	0.119622
8999.08	     0
8999.08	     0
8999.08	0.141835
8999.08	     0
8999.21	     0
8999.21	0.633725
8999.21	     0
8999.22	     0
8999.22	0.735983
8999.22	     0
8999.3	     0
8999.3	0.15056
8999.3	     0
8999.31	     0
8999.31	0.448007
8999.31	     0
8999.36	     0
