Energy (eV)	Intensity
2.48464	     0
2.48464	468.482
2.48464	     0
2.72154	     0
2.72154	209.588
2.72154	     0
2.95096	     0
2.95096	282.358
2.95096	     0
3.03555	     0
3.03555	235.926
3.03555	     0
3.09381	     0
3.09381	241.052
3.09381	     0
3.11778	     0
3.11778	394.492
3.11778	     0
3.13003	     0
3.13003	400.248
3.13003	     0
3.14705	     0
3.14705	141.959
3.14705	     0
3.19424	     0
3.19424	475.194
3.19424	     0
3.21852	     0
3.21852	56.7105
3.21852	     0
3.24097	     0
3.24097	105.775
3.24097	     0
3.27951	     0
3.27951	787.933
3.27951	     0
3.28553	     0
3.28553	166.268
3.28553	     0
3.31666	     0
3.31666	110.231
3.31666	     0
3.34049	     0
3.34049	168.041
3.34049	     0
3.34695	     0
3.34695	677.357
3.34695	     0
3.38251	     0
3.38251	450.687
3.38251	     0
3.40193	     0
3.40193	660.467
3.40193	     0
3.43038	     0
3.43038	168.129
3.43038	     0
3.45005	     0
3.45005	164.053
3.45005	     0
3.48062	     0
3.48062	92.5615
3.48062	     0
3.49754	     0
3.49754	 156.6
3.49754	     0
3.50599	     0
3.50599	145.194
3.50599	     0
3.53671	     0
3.53671	224.339
3.53671	     0
3.54802	     0
3.54802	174.221
3.54802	     0
3.5653	     0
3.5653	394.23
3.5653	     0
3.57547	     0
3.57547	90.1787
3.57547	     0
3.58836	     0
3.58836	380.111
3.58836	     0
3.59351	     0
3.59351	76.7888
3.59351	     0
3.61773	     0
3.61773	455.896
3.61773	     0
3.6229	     0
3.6229	145.762
3.6229	     0
3.64241	     0
3.64241	542.032
3.64241	     0
3.64995	     0
3.64995	161.059
3.64995	     0
3.67223	     0
3.67223	334.223
3.67223	     0
3.69206	     0
3.69206	169.745
3.69206	     0
3.69485	     0
3.69485	417.986
3.69485	     0
3.71605	     0
3.71605	80.2677
3.71605	     0
3.7268	     0
3.7268	81.1987
3.7268	     0
3.73939	     0
3.73939	22.9758
3.73939	     0
3.74488	     0
3.74488	258.36
3.74488	     0
3.75944	     0
3.75944	1650.06
3.75944	     0
3.7702	     0
3.7702	352.063
3.7702	     0
3.7823	     0
3.7823	448.555
3.7823	     0
3.7958	     0
3.7958	389.937
3.7958	     0
3.80355	     0
3.80355	32.0657
3.80355	     0
3.81008	     0
3.81008	310.191
3.81008	     0
3.82564	     0
3.82564	207.046
3.82564	     0
3.83198	     0
3.83198	327.258
3.83198	     0
 3.852	     0
 3.852	786.396
 3.852	     0
3.86317	     0
3.86317	625.516
3.86317	     0
3.8662	     0
3.8662	 103.7
3.8662	     0
3.87549	     0
3.87549	151.487
3.87549	     0
3.88925	     0
3.88925	297.495
3.88925	     0
3.89779	     0
3.89779	676.566
3.89779	     0
3.90519	     0
3.90519	1235.32
3.90519	     0
3.91883	     0
3.91883	318.684
3.91883	     0
3.93714	     0
3.93714	199.907
3.93714	     0
3.94732	     0
3.94732	87.9696
3.94732	     0
3.96196	     0
3.96196	22.8106
3.96196	     0
3.97392	     0
3.97392	473.076
3.97392	     0
3.97407	     0
3.97407	19.7865
3.97407	     0
3.99295	     0
3.99295	783.176
3.99295	     0
3.9988	     0
3.9988	1352.58
3.9988	     0
4.00116	     0
4.00116	137.586
4.00116	     0
4.0075	     0
4.0075	883.349
4.0075	     0
4.02404	     0
4.02404	294.337
4.02404	     0
4.03267	     0
4.03267	851.48
4.03267	     0
4.04686	     0
4.04686	633.719
4.04686	     0
4.05174	     0
4.05174	81.5888
4.05174	     0
4.06382	     0
4.06382	618.735
4.06382	     0
 4.077	     0
 4.077	163.825
 4.077	     0
4.09008	     0
4.09008	462.644
4.09008	     0
4.11455	     0
4.11455	95.8534
4.11455	     0
4.1179	     0
4.1179	311.564
4.1179	     0
4.12519	     0
4.12519	863.156
4.12519	     0
4.12985	     0
4.12985	502.446
4.12985	     0
4.15475	     0
4.15475	56.6956
4.15475	     0
4.17587	     0
4.17587	474.975
4.17587	     0
4.18261	     0
4.18261	413.305
4.18261	     0
4.19245	     0
4.19245	397.002
4.19245	     0
4.20897	     0
4.20897	797.837
4.20897	     0
4.21535	     0
4.21535	40.0414
4.21535	     0
4.21846	     0
4.21846	167.696
4.21846	     0
4.22749	     0
4.22749	272.843
4.22749	     0
4.24007	     0
4.24007	119.77
4.24007	     0
4.26275	     0
4.26275	736.509
4.26275	     0
4.26883	     0
4.26883	 590.9
4.26883	     0
 4.275	     0
 4.275	275.533
 4.275	     0
4.29642	     0
4.29642	225.215
4.29642	     0
