Energy (eV)	Intensity
2.6375	     0
2.6375	40.3293
2.6375	     0
2.73817	     0
2.73817	1169.27
2.73817	     0
2.85497	     0
2.85497	266.392
2.85497	     0
2.88501	     0
2.88501	367.987
2.88501	     0
2.93681	     0
2.93681	165.171
2.93681	     0
2.96488	     0
2.96488	156.303
2.96488	     0
3.01454	     0
3.01454	54.0996
3.01454	     0
3.02126	     0
3.02126	323.595
3.02126	     0
3.05685	     0
3.05685	777.607
3.05685	     0
3.08148	     0
3.08148	150.939
3.08148	     0
3.10437	     0
3.10437	778.356
3.10437	     0
3.13406	     0
3.13406	331.287
3.13406	     0
3.14377	     0
3.14377	268.264
3.14377	     0
3.17857	     0
3.17857	301.18
3.17857	     0
3.20091	     0
3.20091	195.206
3.20091	     0
3.22449	     0
3.22449	98.3079
3.22449	     0
3.24291	     0
3.24291	81.4185
3.24291	     0
3.27408	     0
3.27408	512.616
3.27408	     0
3.28419	     0
3.28419	70.8219
3.28419	     0
3.29526	     0
3.29526	210.145
3.29526	     0
3.31624	     0
3.31624	430.088
3.31624	     0
3.32017	     0
3.32017	28.591
3.32017	     0
3.33629	     0
3.33629	527.585
3.33629	     0
3.34698	     0
3.34698	462.259
3.34698	     0
3.36658	     0
3.36658	192.557
3.36658	     0
3.39102	     0
3.39102	120.695
3.39102	     0
3.40417	     0
3.40417	172.947
3.40417	     0
3.41783	     0
3.41783	110.258
3.41783	     0
3.42453	     0
3.42453	602.151
3.42453	     0
3.43595	     0
3.43595	191.895
3.43595	     0
3.44757	     0
3.44757	788.184
3.44757	     0
3.45787	     0
3.45787	400.212
3.45787	     0
3.47151	     0
3.47151	934.567
3.47151	     0
3.47388	     0
3.47388	472.423
3.47388	     0
3.49447	     0
3.49447	95.4647
3.49447	     0
3.49975	     0
3.49975	821.124
3.49975	     0
3.53328	     0
3.53328	76.6194
3.53328	     0
3.55447	     0
3.55447	39.6992
3.55447	     0
3.56515	     0
3.56515	325.747
3.56515	     0
