Wavelength (nm)	Intensity
309.074	0.000386418
309.562	0.000631254
310.681	0.00187232
311.644	0.00455906
313.474	0.0221315
313.557	0.0236853
313.81	0.0291113
313.962	0.0328778
315.081	0.0784765
315.625	0.117377
316.044	0.158742
317.685	0.481985
317.874	0.543683
317.957	0.572846
318.21	0.67123
318.362	0.736828
318.39	0.749548
319.481	1.42719
320.025	1.93106
320.221	2.14765
320.444	2.41861
320.71	2.78037
322.085	5.4653
322.274	5.96257
322.357	6.19156
322.61	6.93913
322.762	7.41867
322.79	7.51009
323.023	8.30912
323.516	10.2246
323.881	11.8522
324.425	14.6362
324.621	15.7549
324.762	16.6001
324.844	17.101
325.11	18.8188
325.751	23.4642
326.485	29.7069
326.674	31.4761
326.757	32.2716
327.01	34.7928
327.162	36.3543
327.19	36.6474
327.423	39.1517
327.446	39.4109
327.916	44.7888
328.281	49.2443
328.561	52.8185
328.825	56.3059
329.021	58.9777
329.162	60.9415
329.244	62.0845
329.51	65.8952
330.151	75.4728
330.885	87.0265
331.074	90.0785
331.157	91.4229
331.41	95.5757
331.562	98.0705
331.59	98.5325
331.634	99.2727
331.823	102.403
331.846	102.796
332.316	110.655
332.488	113.535
332.681	116.777
332.961	121.46
333.225	125.852
333.421	129.106
333.562	131.439
333.644	132.775
333.91	137.117
334.212	141.971
334.551	147.328
335.285	158.45
335.474	161.189
335.557	162.37
335.81	165.925
335.962	167.993
335.99	168.37
336.034	168.972
336.223	171.467
336.246	171.775
336.716	177.681
336.888	179.729
337.081	181.958
337.361	185.041
337.368	185.12
337.625	187.783
337.821	189.721
337.962	191.062
338.044	191.81
338.31	194.149
338.612	196.587
338.951	199.055
339.428	202.023
339.685	203.375
339.874	204.258
339.957	204.615
340.21	205.597
340.362	206.102
340.39	206.188
340.434	206.323
340.623	206.832
340.646	206.889
341.116	207.723
341.288	207.885
341.481	207.976
341.761	207.938
341.768	207.935
342.025	207.722
342.221	207.449
342.362	207.193
342.444	207.024
342.451	207.007
342.71	206.36
343.012	205.403
343.351	204.077
343.828	201.779
344.085	200.339
344.274	199.194
344.357	198.671
344.545	197.431
344.61	196.981
344.762	195.914
344.79	195.712
344.834	195.386
345.023	193.972
345.046	193.791
345.516	189.971
345.688	188.482
345.881	186.751
346.161	184.145
346.168	184.076
346.425	181.589
346.621	179.624
346.762	178.177
346.844	177.335
346.851	177.254
347.11	174.522
347.412	171.243
347.751	167.451
348.228	161.965
348.438	159.514
348.485	158.95
348.674	156.715
348.757	155.732
348.945	153.49
349.01	152.702
349.155	150.965
349.162	150.888
349.19	150.553
349.234	150.016
349.423	147.749
349.446	147.465
349.916	141.815
350.088	139.76
350.281	137.458
350.561	134.154
350.568	134.068
350.825	131.082
351.021	128.825
351.162	127.217
351.244	 126.3
351.251	126.212
351.51	123.342
351.812	120.082
351.821	119.986
352.151	116.545
352.628	111.846
352.838	109.898
352.885	109.463
353.157	107.071
353.345	105.497
353.41	104.961
353.555	103.812
353.59	103.546
353.634	103.204
353.823	101.804
353.846	101.634
354.316	98.5038
354.488	97.486
354.961	95.0518
354.968	95.0186
355.225	 93.94
355.364	93.4237
355.421	93.229
355.562	92.7797
355.651	92.5243
355.91	91.9052
356.056	91.6359
356.212	91.4145
356.221	91.4038
356.551	91.1656
357.028	91.3629
357.238	91.6512
357.285	91.7344
357.745	92.8552
357.955	93.5618
357.99	93.6882
358.034	93.8576
358.223	94.6296
358.246	94.7329
358.716	97.0834
358.888	98.078
359.361	101.168
359.368	101.219
359.764	104.173
359.821	104.621
359.962	105.764
360.051	106.502
360.31	108.716
360.456	110.013
360.553	110.884
360.612	111.424
360.621	111.507
360.951	114.607
361.428	119.266
361.638	121.356
362.145	126.478
362.355	128.608
362.434	129.405
362.623	131.298
362.646	131.534
363.116	136.164
363.221	137.177
363.288	137.814
363.761	142.192
363.768	142.257
364.164	145.687
364.362	147.311
364.451	148.019
364.856	151.053
364.953	151.729
365.012	152.134
365.021	152.195
365.351	154.318
365.828	156.963
366.038	157.959
366.148	158.441
366.545	159.947
366.755	160.594
366.834	160.811
367.046	161.318
367.621	162.177
367.688	162.229
368.161	162.325
368.168	162.323
368.564	162.052
368.851	161.674
369.256	160.908
369.353	160.688
369.412	160.547
369.421	160.525
370.228	158.14
370.438	157.408
370.548	157.009
370.945	155.491
371.155	154.646
371.234	154.323
371.968	151.218
372.021	150.984
372.088	150.694
372.568	148.591
372.964	146.849
373.251	145.585
373.656	143.808
373.753	143.385
373.812	143.126
373.821	143.087
374.112	141.808
374.628	139.528
374.838	138.594
374.948	 138.1
375.345	136.288
375.555	135.306
375.668	134.772
376.368	131.317
376.421	131.039
376.968	128.097
377.364	125.823
377.651	124.091
378.056	121.531
378.153	 120.9
378.221	120.451
378.512	118.484
378.747	116.847
379.028	114.836
379.238	113.308
379.348	112.494
379.745	109.507
379.955	107.899
380.068	107.033
380.768	101.638
380.821	101.225
381.764	94.1679
382.051	92.1316
382.456	89.3929
382.553	88.7658
382.621	88.3296
382.912	86.5262
383.147	85.1482
383.638	82.5193
383.748	81.9781
384.145	80.1744
384.355	79.3167
384.468	78.8857
385.168	76.6558
385.221	76.5157
386.164	74.7653
386.44	74.4951
386.856	74.2819
386.953	74.2648
387.021	74.2598
387.312	74.3036
387.547	74.4141
388.038	74.851
388.148	74.9859
388.755	75.9638
388.868	76.1871
389.568	77.8493
389.621	77.9962
390.564	80.9752
390.84	81.9791
391.256	83.5897
391.353	83.9777
391.421	84.2544
391.712	85.4639
391.947	86.4662
392.548	89.0868
393.268	92.2235
393.968	95.0639
394.021	95.2676
394.964	98.3161
395.24	98.9747
395.656	99.7198
395.753	99.8462
396.112	100.152
396.347	100.205
396.948	99.7754
397.668	98.1434
398.149	96.3748
398.368	95.3945
398.421	95.1373
399.64	87.764
400.153	83.9249
400.512	81.0463
400.747	79.0966
401.348	73.9627
402.068	67.6904
402.549	63.5593
402.768	61.7137
402.821	61.2647
404.04	51.7329
404.912	45.8536
405.147	44.4158
405.748	41.0285
406.468	37.4723
406.949	35.3772
407.168	34.4885
408.44	29.9994
409.312	27.4567
409.547	26.832
410.868	23.7881
411.349	 22.89
411.568	22.5224
412.84	20.9691
413.712	20.5446
413.947	20.5234
415.268	21.0894
415.749	21.5373
417.24	23.3236
418.347	24.526
420.149	24.9843
421.64	23.2843
424.549	15.5242
426.04	10.9008
428.949	4.0897
433.349	0.445126
433.566	0.389861
437.749	0.0323269
437.966	0.0314927
442.366	0.330234
446.766	3.03201
451.166	11.4738
455.566	 17.88
459.966	11.4738
464.366	3.03201
468.766	0.329939
473.166	0.0147941
   477	0.00109015
 481.4	0.0330904
 485.8	0.73835
 490.2	6.78513
 494.6	25.6765
   499	40.0124
 503.4	25.6765
 507.8	6.78513
 512.2	0.73835
 516.6	0.0330863
