Energy (eV)	Intensity
2.48466	     0
2.48466	468.511
2.48466	     0
2.72154	     0
2.72154	209.359
2.72154	     0
2.95096	     0
2.95096	282.302
2.95096	     0
3.03555	     0
3.03555	235.863
3.03555	     0
3.09383	     0
3.09383	240.895
3.09383	     0
3.11778	     0
3.11778	394.449
3.11778	     0
3.13003	     0
3.13003	400.309
3.13003	     0
3.14707	     0
3.14707	141.97
3.14707	     0
3.19425	     0
3.19425	475.558
3.19425	     0
3.21852	     0
3.21852	56.5668
3.21852	     0
3.24097	     0
3.24097	105.666
3.24097	     0
3.27952	     0
3.27952	787.66
3.27952	     0
3.28553	     0
3.28553	166.353
3.28553	     0
3.31668	     0
3.31668	110.091
3.31668	     0
3.34049	     0
3.34049	168.088
3.34049	     0
3.34697	     0
3.34697	677.25
3.34697	     0
3.38251	     0
3.38251	450.925
3.38251	     0
3.40194	     0
3.40194	660.637
3.40194	     0
3.43039	     0
3.43039	167.875
3.43039	     0
3.45006	     0
3.45006	163.762
3.45006	     0
3.48063	     0
3.48063	92.7495
3.48063	     0
3.49756	     0
3.49756	156.77
3.49756	     0
 3.506	     0
 3.506	145.196
 3.506	     0
3.53674	     0
3.53674	224.45
3.53674	     0
3.54802	     0
3.54802	174.136
3.54802	     0
3.56531	     0
3.56531	394.187
3.56531	     0
3.57548	     0
3.57548	90.549
3.57548	     0
3.58838	     0
3.58838	380.49
3.58838	     0
3.59351	     0
3.59351	76.9226
3.59351	     0
3.61776	     0
3.61776	455.061
3.61776	     0
3.62293	     0
3.62293	145.713
3.62293	     0
3.64242	     0
3.64242	541.837
3.64242	     0
3.64997	     0
3.64997	161.23
3.64997	     0
3.67225	     0
3.67225	334.598
3.67225	     0
3.69209	     0
3.69209	168.325
3.69209	     0
3.69488	     0
3.69488	419.293
3.69488	     0
3.71607	     0
3.71607	80.3018
3.71607	     0
3.72682	     0
3.72682	80.7576
3.72682	     0
3.7394	     0
3.7394	23.3256
3.7394	     0
