Energy (eV)	Intensity
8995.5	     0
8995.5	0.897707
8995.5	     0
8995.54	     0
8995.54	0.964636
8995.54	     0
8995.57	     0
8995.57	0.169847
8995.57	     0
8995.6	     0
8995.6	0.268201
8995.6	     0
8995.67	     0
8995.67	0.13578
8995.67	     0
8995.68	     0
8995.68	0.122319
8995.68	     0
8995.69	     0
8995.69	0.139539
8995.69	     0
8995.71	     0
8995.71	0.221019
8995.71	     0
8996.01	     0
8996.01	0.0972643
8996.01	     0
8996.01	     0
8996.01	0.167665
8996.01	     0
8996.59	     0
8996.59	0.248886
8996.59	     0
8996.6	     0
8996.6	0.339521
8996.6	     0
8996.66	     0
8996.66	0.177969
8996.66	     0
8996.67	     0
8996.67	0.197829
8996.67	     0
8997.1	     0
8997.1	0.0632548
8997.1	     0
8997.1	     0
8997.1	0.154607
8997.1	     0
8997.14	     0
8997.14	0.156932
8997.14	     0
8997.14	     0
8997.14	0.214159
8997.14	     0
8997.18	     0
8997.18	0.108027
8997.18	     0
8997.19	     0
8997.19	0.223114
8997.19	     0
8997.29	     0
8997.29	0.558129
8997.29	     0
8997.29	     0
8997.29	1.00556
8997.29	     0
8997.4	     0
8997.4	0.0443128
8997.4	     0
8997.4	     0
8997.4	0.522311
8997.4	     0
8997.6	     0
8997.6	0.0313691
8997.6	     0
8997.6	     0
8997.6	0.0309673
8997.6	     0
8997.75	     0
8997.75	0.0752801
8997.75	     0
8997.76	     0
8997.76	0.272994
8997.76	     0
8997.78	     0
8997.78	0.196308
8997.78	     0
8997.8	     0
8997.8	0.409664
8997.8	     0
8998.05	     0
8998.05	0.126337
8998.05	     0
8998.09	     0
8998.09	0.24263
8998.09	     0
8998.1	     0
8998.1	0.126653
8998.1	     0
8998.12	     0
8998.12	0.858302
8998.12	     0
8998.27	     0
8998.27	0.028413
8998.27	     0
8998.27	     0
8998.27	0.0328615
8998.27	     0
8998.31	     0
8998.31	0.543435
8998.31	     0
8998.35	     0
8998.35	0.98352
8998.35	     0
8998.59	     0
8998.59	0.0108199
8998.59	     0
8998.6	     0
8998.6	0.0512295
8998.6	     0
8998.66	     0
8998.66	0.0095858
8998.66	     0
8998.67	     0
8998.67	0.0292453
8998.67	     0
8998.8	     0
8998.8	0.12209
8998.8	     0
8998.8	     0
8998.8	0.136239
8998.8	     0
8998.9	     0
8998.9	0.491746
8998.9	     0
8998.91	     0
8998.91	0.936998
8998.91	     0
8999.03	     0
8999.03	0.0665553
8999.03	     0
8999.03	     0
8999.03	0.280657
8999.03	     0
8999.06	     0
8999.06	0.0677894
8999.06	     0
8999.07	     0
8999.07	0.174266
8999.07	     0
8999.2	     0
8999.2	0.147174
8999.2	     0
8999.2	     0
8999.2	0.19229
8999.2	     0
8999.42	     0
8999.42	1.00981
8999.42	     0
8999.43	     0
8999.43	2.22353
8999.43	     0
8999.52	     0
8999.52	0.0872767
8999.52	     0
8999.54	     0
8999.54	0.324339
8999.54	     0
8999.62	     0
8999.62	0.17352
8999.62	     0
8999.63	     0
8999.63	0.543664
8999.63	     0
8999.76	     0
8999.76	1.12065
8999.76	     0
8999.76	     0
8999.76	1.65645
8999.76	     0
8999.89	     0
