Energy (eV)	Intensity
2.48466	     0
2.48466	468.513
2.48466	     0
2.72154	     0
2.72154	209.361
2.72154	     0
2.95096	     0
2.95096	282.303
2.95096	     0
3.03555	     0
3.03555	235.868
3.03555	     0
3.09383	     0
3.09383	240.895
3.09383	     0
3.11778	     0
3.11778	394.453
3.11778	     0
3.13003	     0
3.13003	400.309
3.13003	     0
3.14707	     0
3.14707	141.972
3.14707	     0
3.19425	     0
3.19425	475.559
3.19425	     0
3.21852	     0
3.21852	56.5679
3.21852	     0
3.24097	     0
3.24097	105.669
3.24097	     0
3.27952	     0
3.27952	787.661
3.27952	     0
3.28553	     0
3.28553	166.368
3.28553	     0
3.31668	     0
3.31668	110.094
3.31668	     0
3.34049	     0
3.34049	168.09
3.34049	     0
3.34697	     0
3.34697	677.252
3.34697	     0
3.38251	     0
3.38251	450.927
3.38251	     0
3.40194	     0
3.40194	660.642
3.40194	     0
3.43039	     0
3.43039	167.879
3.43039	     0
3.45006	     0
3.45006	163.764
3.45006	     0
3.48063	     0
3.48063	92.7524
3.48063	     0
3.49756	     0
3.49756	156.771
3.49756	     0
 3.506	     0
 3.506	145.199
 3.506	     0
3.53674	     0
3.53674	224.452
3.53674	     0
3.54802	     0
3.54802	174.137
3.54802	     0
3.56531	     0
3.56531	394.188
3.56531	     0
3.57548	     0
3.57548	90.5533
3.57548	     0
3.58838	     0
3.58838	380.493
3.58838	     0
3.59351	     0
3.59351	76.9321
3.59351	     0
3.61776	     0
3.61776	455.063
3.61776	     0
3.62293	     0
3.62293	145.717
3.62293	     0
3.64242	     0
3.64242	541.843
3.64242	     0
3.64997	     0
3.64997	161.233
3.64997	     0
3.67225	     0
3.67225	334.602
3.67225	     0
3.69209	     0
3.69209	168.329
3.69209	     0
3.69488	     0
3.69488	419.297
3.69488	     0
3.71607	     0
3.71607	80.3086
3.71607	     0
3.72682	     0
3.72682	80.7607
3.72682	     0
3.7394	     0
3.7394	23.3259
3.7394	     0
3.74491	     0
3.74491	258.189
3.74491	     0
