Energy (eV)	Intensity
8987.67	     0
8987.67	0.2647
8987.67	     0
8990.09	     0
8990.09	0.0016933
8990.09	     0
8990.15	     0
8990.15	0.0001435
8990.15	     0
8993.68	     0
8993.68	1.1571
8993.68	     0
8993.72	     0
8993.72	1.19874
8993.72	     0
8993.84	     0
8993.84	0.0066297
8993.84	     0
8993.87	     0
8993.87	0.0090979
8993.87	     0
8994.57	     0
8994.57	0.059983
8994.57	     0
8994.69	     0
8994.69	0.0474411
8994.69	     0
8994.72	     0
8994.72	0.149326
8994.72	     0
8994.84	     0
8994.84	0.118875
8994.84	     0
8994.92	     0
8994.92	0.012915
8994.92	     0
8994.98	     0
8994.98	0.0172487
8994.98	     0
8995.06	     0
8995.06	0.0649768
8995.06	     0
8995.12	     0
8995.12	0.0642306
8995.12	     0
8996.33	     0
8996.33	0.0017794
8996.33	     0
8996.44	     0
8996.44	0.002009
8996.44	     0
8996.45	     0
8996.45	0.03157
8996.45	     0
8996.55	     0
8996.55	0.0367647
8996.55	     0
8996.95	     0
8996.95	0.059122
8996.95	     0
8997.04	     0
8997.04	0.17573
8997.04	     0
8997.86	     0
8997.86	5.0725
8997.86	     0
8997.9	     0
8997.9	6.63111
8997.9	     0
8998.11	     0
8998.11	0.567801
8998.11	     0
8998.11	     0
8998.11	1.05231
8998.11	     0
8998.15	     0
8998.15	0.0390894
8998.15	     0
8998.17	     0
8998.17	0.0721805
8998.17	     0
8998.5	     0
8998.5	0.0167321
8998.5	     0
8998.53	     0
8998.53	0.0729841
8998.53	     0
8998.58	     0
8998.58	0.0532959
8998.58	     0
8998.59	     0
8998.59	0.0514304
8998.59	     0
8998.71	     0
8998.71	0.0152971
8998.71	     0
8998.71	     0
8998.71	0.0138908
8998.71	     0
8998.75	     0
8998.75	1.33713
8998.75	     0
8998.79	     0
8998.79	1.51106
8998.79	     0
8998.87	     0
8998.87	0.127658
8998.87	     0
8998.92	     0
8998.92	0.238325
8998.92	     0
8999.02	     0
8999.02	0.051373
8999.02	     0
8999.06	     0
8999.06	0.0594377
8999.06	     0
8999.07	     0
8999.07	0.205836
8999.07	     0
8999.2	     0
8999.2	0.294175
8999.2	     0
8999.23	     0
8999.23	0.0557067
8999.23	     0
8999.27	     0
8999.27	0.0755097
8999.27	     0
8999.29	     0
8999.29	0.0466949
8999.29	     0
8999.31	     0
8999.31	0.237435
8999.31	     0
8999.33	     0
8999.33	0.179662
8999.33	     0
8999.34	     0
8999.34	0.299628
8999.34	     0
8999.36	     0
8999.36	0.167034
8999.36	     0
8999.38	     0
8999.38	0.287201
8999.38	     0
8999.45	     0
8999.45	0.452742
8999.45	     0
8999.46	     0
8999.46	0.41239
8999.46	     0
8999.49	     0
8999.49	0.366757
8999.49	     0
8999.5	     0
8999.5	0.326348
8999.5	     0
8999.54	     0
8999.54	0.451221
8999.54	     0
8999.6	     0
8999.6	0.0759115
8999.6	     0
8999.63	     0
8999.63	0.0854112
8999.63	     0
8999.67	     0
8999.67	0.0323449
8999.67	     0
8999.7	     0
8999.7	0.0576009
8999.7	     0
8999.75	     0
8999.75	0.0030135
8999.75	     0
8999.75	     0
8999.75	0.006601
8999.75	     0
8999.85	     0
8999.85	0.0303646
8999.85	     0
8999.92	     0
8999.92	0.207616
8999.92	     0
8999.94	     0
8999.94	0.081795
8999.94	     0
  9000	     0
  9000	0.171167
  9000	     0
9000.03	     0
9000.03	0.148379
9000.03	     0
9000.05	     0
9000.05	1.11324
9000.05	     0
9000.09	     0
9000.09	0.575435
9000.09	     0
9000.12	     0
9000.12	0.128633
9000.12	     0
9000.16	     0
9000.16	0.896531
9000.16	     0
9000.28	     0
9000.28	0.0159285
9000.28	     0
9000.32	     0
9000.32	0.246763
9000.32	     0
9000.35	     0
9000.35	0.0300776
9000.35	     0
9000.36	     0
9000.36	0.137043
9000.36	     0
9000.38	     0
9000.38	0.0286426
9000.38	     0
9000.42	     0
9000.42	0.0801878
9000.42	     0
9000.51	     0
9000.51	0.996894
9000.51	     0
9000.53	     0
9000.53	1.76849
9000.53	     0
9000.65	     0
9000.65	0.191831
9000.65	     0
9000.66	     0
9000.66	0.392214
9000.66	     0
9000.86	     0
9000.86	0.0742469
9000.86	     0
9000.87	     0
9000.87	0.422895
9000.87	     0
9000.88	     0
9000.88	1.18218
9000.88	     0
9000.9	     0
9000.9	0.996005
9000.9	     0
9001.08	     0
9001.08	2.56205
9001.08	     0
9001.1	     0
9001.1	3.50823
9001.1	     0
9001.2	     0
9001.2	0.327151
9001.2	     0
9001.22	     0
9001.22	0.378725
9001.22	     0
9001.29	     0
9001.29	1.40332
9001.29	     0
9001.31	     0
9001.31	1.71792
9001.31	     0
9001.6	     0
9001.6	1.37875
9001.6	     0
9001.61	     0
9001.61	2.20112
9001.61	     0
9001.69	     0
9001.69	0.0781501
9001.69	     0
9001.7	     0
9001.7	0.0580027
9001.7	     0
9001.8	     0
9001.8	0.886887
9001.8	     0
9001.81	     0
9001.81	0.238841
9001.81	     0
9001.82	     0
9001.82	0.575119
9001.82	     0
9001.83	     0
9001.83	1.58473
9001.83	     0
9001.86	     0
9001.86	0.390578
9001.86	     0
9001.88	     0
9001.88	0.447261
9001.88	     0
9002.04	     0
9002.04	0.107855
9002.04	     0
9002.05	     0
9002.05	0.461123
9002.05	     0
9002.13	     0
9002.13	0.0316561
9002.13	     0
9002.14	     0
9002.14	0.0242802
9002.14	     0
9002.25	     0
9002.25	0.240936
9002.25	     0
9002.26	     0
9002.26	0.232929
9002.26	     0
9002.29	     0
9002.29	0.442123
9002.29	     0
9002.31	     0
9002.31	0.570671
9002.31	     0
9002.32	     0
9002.32	0.168986
9002.32	     0
9002.33	     0
9002.33	0.323822
9002.33	     0
9002.38	     0
9002.38	0.577444
9002.38	     0
9002.39	     0
9002.39	1.4435
9002.39	     0
9002.57	     0
9002.57	0.734462
9002.57	     0
