Energy (eV)	Intensity
3.1383	     0
3.1383	550.757
3.1383	     0
3.27445	     0
3.27445	106.443
3.27445	     0
3.28454	     0
3.28454	475.183
3.28454	     0
3.31173	     0
3.31173	41.9603
3.31173	     0
3.38076	     0
3.38076	656.535
3.38076	     0
3.46791	     0
3.46791	387.624
3.46791	     0
3.52539	     0
3.52539	200.924
3.52539	     0
3.53795	     0
3.53795	171.961
3.53795	     0
3.56063	     0
3.56063	241.766
3.56063	     0
3.59677	     0
3.59677	41.6637
3.59677	     0
3.60927	     0
3.60927	183.009
3.60927	     0
3.64195	     0
3.64195	73.4685
3.64195	     0
3.66754	     0
3.66754	541.956
3.66754	     0
3.67179	     0
3.67179	147.203
3.67179	     0
3.70056	     0
3.70056	713.343
3.70056	     0
3.71091	     0
3.71091	13.1349
3.71091	     0
3.73132	     0
3.73132	879.467
3.73132	     0
3.74964	     0
3.74964	171.774
3.74964	     0
3.77441	     0
3.77441	231.725
3.77441	     0
3.78337	     0
3.78337	373.998
3.78337	     0
3.78757	     0
3.78757	441.726
3.78757	     0
3.80148	     0
3.80148	206.494
3.80148	     0
3.82257	     0
3.82257	299.23
3.82257	     0
3.83429	     0
3.83429	27.7293
3.83429	     0
3.83772	     0
3.83772	510.275
3.83772	     0
3.86148	     0
3.86148	1021.3
3.86148	     0
3.86482	     0
3.86482	153.454
3.86482	     0
3.91107	     0
3.91107	498.517
3.91107	     0
3.93549	     0
3.93549	97.5216
3.93549	     0
3.94886	     0
3.94886	250.716
3.94886	     0
3.9625	     0
3.9625	499.638
3.9625	     0
3.96797	     0
3.96797	104.432
3.96797	     0
3.98752	     0
3.98752	201.133
3.98752	     0
3.99828	     0
3.99828	65.2943
3.99828	     0
4.00771	     0
4.00771	160.203
4.00771	     0
4.02546	     0
4.02546	433.899
4.02546	     0
4.03461	     0
4.03461	254.784
4.03461	     0
4.04248	     0
4.04248	358.696
4.04248	     0
4.04653	     0
4.04653	28.0938
4.04653	     0
4.05602	     0
4.05602	85.4585
4.05602	     0
4.0691	     0
4.0691	333.003
4.0691	     0
4.08046	     0
4.08046	46.5616
4.08046	     0
4.0882	     0
4.0882	143.993
4.0882	     0
4.10329	     0
4.10329	514.677
4.10329	     0
4.10654	     0
4.10654	511.105
4.10654	     0
4.11531	     0
4.11531	152.476
4.11531	     0
4.12333	     0
4.12333	57.1099
4.12333	     0
4.14263	     0
4.14263	268.765
4.14263	     0
4.14925	     0
4.14925	54.3697
4.14925	     0
4.15538	     0
4.15538	193.684
4.15538	     0
4.16229	     0
4.16229	161.635
4.16229	     0
4.16679	     0
4.16679	43.8943
4.16679	     0
4.17856	     0
4.17856	119.956
4.17856	     0
4.19173	     0
4.19173	1082.91
4.19173	     0
4.2066	     0
4.2066	58.9424
4.2066	     0
4.21421	     0
4.21421	440.743
4.21421	     0
4.2216	     0
4.2216	59.9525
4.2216	     0
4.23311	     0
4.23311	501.015
4.23311	     0
4.24404	     0
4.24404	182.165
4.24404	     0
4.24922	     0
4.24922	418.287
4.24922	     0
4.26563	     0
4.26563	139.221
4.26563	     0
4.26916	     0
4.26916	302.888
4.26916	     0
4.28295	     0
4.28295	163.831
4.28295	     0
4.28801	     0
4.28801	115.912
4.28801	     0
4.29432	     0
4.29432	240.091
4.29432	     0
4.30154	     0
4.30154	205.317
4.30154	     0
4.31436	     0
4.31436	94.3069
4.31436	     0
4.3192	     0
4.3192	354.221
4.3192	     0
4.33513	     0
4.33513	14.6935
4.33513	     0
4.3411	     0
4.3411	389.581
4.3411	     0
4.34765	     0
4.34765	232.369
4.34765	     0
4.35833	     0
4.35833	86.2686
4.35833	     0
4.36433	     0
4.36433	367.301
4.36433	     0
 4.367	     0
 4.367	218.429
 4.367	     0
4.37851	     0
4.37851	144.929
4.37851	     0
4.3904	     0
4.3904	550.091
4.3904	     0
4.39302	     0
4.39302	533.684
4.39302	     0
4.40632	     0
4.40632	482.786
4.40632	     0
4.41444	     0
4.41444	188.993
4.41444	     0
4.42739	     0
4.42739	122.085
4.42739	     0
4.43573	     0
4.43573	255.266
4.43573	     0
4.44625	     0
4.44625	1246.1
4.44625	     0
4.45313	     0
4.45313	322.358
4.45313	     0
4.45997	     0
4.45997	1300.33
4.45997	     0
4.46525	     0
4.46525	381.06
4.46525	     0
4.47439	     0
4.47439	149.212
4.47439	     0
4.48024	     0
4.48024	46.2273
4.48024	     0
4.48741	     0
4.48741	1077.84
4.48741	     0
4.49578	     0
4.49578	240.982
4.49578	     0
4.49997	     0
4.49997	433.891
4.49997	     0
4.50643	     0
4.50643	929.342
