Wavelength (nm)	Intensity
293.679	0.000374148
294.396	0.001439
294.703	0.00250484
295.301	0.0070793
   296	0.0223825
296.079	0.0253494
296.796	0.0761581
297.103	0.119292
297.364	0.172694
297.701	0.274742
298.093	0.462066
 298.4	0.684129
298.479	0.754423
298.931	1.30506
299.196	1.77597
299.503	2.5066
299.764	3.32242
300.101	4.71676
300.463	6.75238
300.493	6.9505
 300.8	9.27973
300.879	9.96757
300.894	10.1083
301.331	14.8165
301.596	18.451
301.903	23.5036
301.975	24.817
302.164	28.5654
302.501	36.2616
302.863	46.0541
302.893	46.9383
303.041	51.4656
 303.2	56.637
303.279	59.2915
303.294	59.8244
303.731	76.0223
303.996	86.8538
304.303	100.185
304.375	103.382
304.564	111.999
304.901	127.719
305.008	132.787
305.263	144.754
305.293	146.158
305.441	153.042
 305.6	160.334
305.679	163.862
305.694	164.554
306.131	183.23
306.396	193.546
306.703	204.278
306.775	206.565
306.964	212.222
307.301	220.805
307.408	223.131
307.663	227.838
307.693	228.32
307.841	230.481
   308	232.408
308.079	233.209
308.094	233.356
308.531	236.129
308.796	236.663
308.802	236.666
309.08	236.478
309.103	236.433
309.175	236.274
309.364	235.699
309.701	234.26
309.808	233.727
310.063	232.395
310.093	232.234
310.241	231.44
 310.4	230.595
310.479	230.186
310.494	230.107
310.931	227.983
311.066	227.383
311.196	226.833
311.202	226.809
311.357	226.183
311.48	225.702
311.503	225.612
311.575	225.34
311.764	224.629
312.101	223.342
312.208	222.908
312.348	222.32
312.463	221.806
312.493	221.667
312.641	220.948
 312.8	220.107
312.879	219.664
312.894	219.574
313.331	216.695
313.466	215.661
313.596	214.609
313.602	214.561
313.757	213.226
313.88	212.11
313.903	211.892
313.975	211.22
314.147	209.542
314.164	209.377
314.501	205.935
314.608	204.814
314.748	203.365
314.863	202.179
314.893	201.873
315.041	200.386
 315.2	198.85
315.279	198.126
315.294	197.986
315.345	197.531
315.709	194.684
315.731	194.538
315.866	193.718
315.996	193.07
316.002	193.045
316.157	192.475
316.28	192.19
316.303	192.153
316.375	192.079
316.486	192.076
316.547	192.136
316.564	192.159
316.901	193.394
317.008	194.104
317.148	195.262
317.263	196.426
317.293	196.761
317.441	198.605
 317.6	200.945
317.694	202.495
317.745	203.393
318.109	210.855
318.131	211.365
318.266	214.644
318.402	218.153
318.557	222.429
318.656	225.309
318.68	226.012
318.775	228.872
318.886	232.328
318.947	234.273
318.964	234.805
319.408	249.625
319.548	254.406
319.663	258.363
319.693	259.394
319.841	264.457
320.094	272.932
320.145	 274.6
320.28	278.92
320.509	285.887
320.531	286.53
320.666	290.366
320.802	293.977
320.957	297.805
321.056	300.079
321.08	 300.6
321.175	302.595
321.286	304.755
321.347	305.857
321.808	312.143
321.948	313.334
322.063	314.074
322.107	314.302
322.241	314.798
322.494	314.992
322.545	314.92
322.68	314.562
322.909	313.447
323.042	312.536
323.066	312.352
323.202	311.23
323.357	309.772
323.456	308.754
323.48	308.503
323.575	307.472
323.686	306.215
323.747	305.504
324.208	299.967
324.348	298.298
324.507	296.43
324.641	294.914
324.945	291.683
325.08	290.361
325.309	288.288
325.442	287.177
325.466	286.983
325.602	285.937
325.667	285.46
325.757	284.822
325.856	284.148
325.88	283.991
326.058	282.863
326.086	282.694
326.147	282.328
326.608	279.749
326.748	   279
326.907	278.139
327.345	275.689
327.48	274.893
327.709	273.493
327.842	272.651
327.866	272.496
328.002	271.621
328.067	271.197
328.157	270.608
328.256	269.955
328.28	 269.8
328.434	268.795
328.458	268.636
328.486	268.457
328.547	268.064
329.148	264.58
329.307	263.831
329.745	262.331
329.88	262.056
330.109	261.809
330.242	261.792
330.266	261.799
330.402	261.895
330.467	261.974
330.557	262.117
330.656	262.32
330.68	262.375
330.834	262.79
330.858	262.865
330.886	262.952
330.947	263.155
331.516	265.526
331.548	265.673
331.707	266.421
332.145	268.369
332.28	268.889
332.509	269.626
332.642	269.955
332.666	270.005
332.71	270.089
332.867	270.308
332.957	270.372
333.056	270.386
333.234	270.258
333.258	270.224
333.286	270.18
333.347	270.067
333.916	267.751
333.948	267.554
334.107	266.448
334.545	262.465
334.68	260.962
334.909	258.123
335.042	256.304
335.11	255.331
335.267	252.967
335.456	249.895
335.634	246.804
335.658	246.36
335.686	245.855
335.747	244.721
336.209	235.411
336.316	233.051
336.507	228.677
336.945	217.803
337.08	214.217
337.309	207.891
337.442	204.068
337.51	202.084
337.667	197.406
337.856	191.592
338.034	185.994
338.058	185.208
338.086	184.319
338.441	172.71
338.609	167.084
338.716	163.46
338.907	156.985
339.48	137.642
339.689	130.741
339.842	125.798
339.91	123.637
340.067	118.73
340.256	112.988
340.434	107.814
340.458	107.113
340.841	96.817
341.009	92.6618
341.116	90.1311
341.307	85.8813
341.88	75.0733
342.089	71.837
342.242	69.7022
342.31	68.8152
342.467	66.9038
342.834	63.1449
342.858	62.9265
343.241	60.0335
343.409	59.039
343.516	58.4852
343.707	57.6505
344.489	56.0235
344.642	56.0122
344.71	56.0375
344.867	56.1662
345.234	56.8435
345.258	56.9076
345.518	57.7233
345.641	58.1945
345.809	58.9302
345.916	59.4529
346.889	65.8026
347.11	67.5552
347.267	68.8406
347.634	71.9124
347.658	72.119
347.918	74.2792
348.041	75.2718
348.209	76.5943
348.316	77.4084
349.289	82.959
349.51	83.6022
350.034	83.9922
350.318	83.5017
350.441	83.1385
350.609	82.4944
350.716	81.9972
351.689	74.9832
351.91	72.9529
352.718	65.3387
352.841	64.2655
353.009	62.867
