Energy (eV)	Intensity
3.1383	     0
3.1383	550.751
3.1383	     0
3.27445	     0
3.27445	106.469
3.27445	     0
3.28454	     0
3.28454	475.165
3.28454	     0
3.31173	     0
3.31173	41.9573
3.31173	     0
3.38076	     0
3.38076	656.576
3.38076	     0
3.46791	     0
3.46791	387.665
3.46791	     0
3.52539	     0
3.52539	200.916
3.52539	     0
3.53795	     0
3.53795	171.957
3.53795	     0
3.56063	     0
3.56063	241.781
3.56063	     0
3.59677	     0
3.59677	41.6547
3.59677	     0
3.60927	     0
3.60927	182.972
3.60927	     0
3.64195	     0
3.64195	73.4798
3.64195	     0
3.66754	     0
3.66754	541.876
3.66754	     0
3.67179	     0
3.67179	147.204
3.67179	     0
3.70056	     0
3.70056	713.303
3.70056	     0
3.71091	     0
3.71091	13.1325
3.71091	     0
3.73132	     0
3.73132	879.495
3.73132	     0
3.74964	     0
3.74964	171.725
3.74964	     0
3.77441	     0
3.77441	231.687
3.77441	     0
3.78337	     0
3.78337	373.641
3.78337	     0
3.78757	     0
3.78757	441.84
3.78757	     0
3.80148	     0
3.80148	206.527
3.80148	     0
3.82257	     0
3.82257	299.292
3.82257	     0
3.83429	     0
3.83429	27.7063
3.83429	     0
3.83773	     0
3.83773	510.192
3.83773	     0
3.86148	     0
3.86148	1021.2
3.86148	     0
3.86482	     0
3.86482	153.307
3.86482	     0
3.91107	     0
3.91107	498.521
3.91107	     0
3.93549	     0
3.93549	97.4825
3.93549	     0
3.94886	     0
3.94886	250.736
3.94886	     0
3.9625	     0
3.9625	499.693
3.9625	     0
3.96797	     0
3.96797	104.614
3.96797	     0
3.98752	     0
3.98752	200.924
3.98752	     0
3.99829	     0
3.99829	65.4001
3.99829	     0
4.00771	     0
4.00771	160.399
4.00771	     0
4.02546	     0
4.02546	433.59
4.02546	     0
4.03462	     0
4.03462	255.556
4.03462	     0
4.04248	     0
4.04248	358.776
4.04248	     0
4.04653	     0
4.04653	28.1245
4.04653	     0
