Energy (eV)	Intensity
8989.89	     0
8989.89	     0
8989.89	     0
8989.89	     0
8989.89	0.422952
8989.89	     0
8989.89	     0
8989.89	     0
8989.89	     0
8989.89	     0
8989.89	0.424817
8989.89	     0
8991.1	     0
8991.1	     0
8991.1	     0
8991.1	     0
8991.1	0.122319
8991.1	     0
8991.1	     0
8991.1	     0
8991.1	     0
8991.1	     0
8991.1	0.122779
8991.1	     0
8991.34	     0
8991.34	     0
8991.34	     0
8991.34	     0
8991.34	     0
8991.34	     0
8991.41	     0
8991.41	     0
8991.41	     0
8991.41	     0
8991.41	     0
8991.41	     0
8992.6	     0
8992.6	     0
8992.6	     0
8992.6	     0
8992.6	     0
8992.6	     0
8992.69	     0
8992.69	     0
8992.69	     0
8992.71	     0
8992.71	     0
8992.71	     0
8992.75	     0
8992.75	     0
8992.75	     0
8992.75	     0
8992.75	     0
8992.75	     0
8993.63	     0
8993.63	     0
8993.63	     0
8993.63	     0
8993.63	3.07704
8993.63	     0
8993.63	     0
8993.63	     0
8993.63	     0
8993.63	     0
8993.63	3.06057
8993.63	     0
8993.81	     0
8993.81	     0
8993.81	     0
8993.81	     0
8993.81	0.0075194
8993.81	     0
8994.17	     0
8994.17	     0
8994.17	     0
8994.17	     0
8994.17	0.0443989
8994.17	     0
8994.3	     0
8994.3	     0
8994.3	     0
8994.3	     0
8994.3	     0
8994.3	     0
8994.87	     0
8994.87	     0
8994.87	     0
8994.87	     0
8994.87	0.356167
8994.87	     0
8994.88	     0
8994.88	     0
8994.88	     0
8994.88	     0
8994.88	0.352579
8994.88	     0
8995.02	     0
8995.02	     0
8995.02	     0
8995.03	     0
8995.03	0.0001148
8995.03	     0
8995.03	     0
8995.03	     0
8995.03	     0
8995.03	     0
8995.03	0.306889
8995.03	     0
8995.13	     0
8995.13	     0
8995.13	     0
8995.13	     0
8995.13	0.799238
8995.13	     0
8995.13	     0
8995.13	     0
8995.13	     0
8995.13	     0
8995.13	0.795047
8995.13	     0
8995.3	     0
8995.3	     0
8995.3	     0
8995.35	     0
8995.35	     0
8995.35	     0
8995.48	     0
8995.48	     0
8995.48	     0
8995.49	     0
8995.49	0.638489
8995.49	     0
8995.49	     0
8995.49	     0
8995.49	     0
8995.49	     0
8995.49	0.635217
8995.49	     0
8995.64	     0
8995.64	     0
8995.64	     0
8995.64	     0
8995.64	0.0072611
8995.64	     0
8995.69	     0
8995.69	     0
8995.69	     0
8995.7	     0
8995.7	     0
8995.7	     0
8995.98	     0
8995.98	     0
8995.98	     0
8995.98	     0
8995.98	0.239702
8995.98	     0
8995.98	     0
