Energy (eV)	Intensity
8989.89	     0
8989.89	1.4782e-05
8989.89	     0
8989.89	1.4846e-05
8991.1	     0
8991.1	4.27e-06
8991.1	     0
8991.1	4.285e-06
8991.34	     0
8991.34	     0
8991.41	     0
8991.41	     0
8992.6	     0
8992.6	     0
8992.69	     0
8992.71	     0
8992.75	     0
8992.75	     0
8993.63	     0
8993.63	0.000107173
8993.63	     0
8993.63	0.000106592
8993.81	     0
8993.81	2.66e-07
8994.17	     0
8994.17	1.541e-06
8994.3	     0
8994.3	     0
8994.87	     0
8994.87	1.2427e-05
8994.88	     0
8994.88	1.2301e-05
8995.02	     0
8995.03	 3e-09
8995.03	     0
8995.03	1.0689e-05
8995.13	     0
8995.13	2.7833e-05
8995.13	     0
8995.13	2.7687e-05
8995.3	     0
8995.35	     0
8995.48	     0
8995.49	2.2252e-05
8995.49	     0
8995.49	2.2136e-05
8995.64	     0
8995.64	2.53e-07
8995.69	     0
8995.7	     0
8995.98	     0
8995.98	8.343e-06
8995.98	     0
8995.98	8.318e-06
8996.31	     0
8996.32	 1e-09
8996.36	     0
8996.36	6.276e-06
8996.45	     0
8996.45	 1e-09
8996.58	     0
8996.58	 3e-09
8996.7	     0
8996.7	     0
8996.71	0.000121823
8996.71	0.000122143
8997.24	     0
8997.24	0.000143841
8997.24	     0
8997.24	0.000143977
8997.47	     0
8997.47	6.717e-06
8997.62	     0
8997.62	5.2119e-05
8997.62	     0
8997.62	5.2534e-05
8997.65	     0
8997.66	4.9e-08
8997.72	     0
8997.72	1.1e-08
8998.02	     0
8998.02	1.2426e-05
8998.06	     0
8998.07	     0
8998.08	     0
8998.08	0.000172099
8998.25	     0
8998.26	 8e-09
8998.38	     0
8998.38	3.7588e-05
8998.38	     0
8998.38	3.8321e-05
8998.39	     0
8998.39	6.097e-05
8998.59	     0
8998.59	7.4799e-05
8998.59	     0
8998.59	7.5375e-05
8998.6	     0
8998.6	4.23e-07
