Energy (eV)	Intensity
8991.37	     0
8991.37	     0
8991.37	     0
8991.37	     0
8991.37	0.421689
8991.37	     0
8991.49	     0
8991.49	     0
8991.49	     0
8991.49	     0
8991.49	0.685672
8991.49	     0
8991.6	     0
8991.6	     0
8991.6	     0
8991.6	     0
8991.6	0.3826
8991.6	     0
8991.73	     0
8991.73	     0
8991.73	     0
8991.73	     0
8991.73	0.484513
8991.73	     0
8991.93	     0
8991.93	     0
8991.93	     0
8991.95	     0
8991.95	0.489766
8991.95	     0
8992.43	     0
8992.43	     0
8992.43	     0
8992.43	     0
8992.43	0.730128
8992.43	     0
8992.5	     0
8992.5	     0
8992.5	     0
8992.5	     0
8992.5	0.0386876
8992.5	     0
8992.54	     0
8992.54	     0
8992.54	     0
8992.54	     0
8992.54	0.328615
8992.54	     0
8992.66	     0
8992.66	     0
8992.66	     0
8992.66	     0
8992.66	0.363887
8992.66	     0
8992.74	     0
8992.74	     0
8992.74	     0
8992.74	     0
8992.74	1.18614
8992.74	     0
8992.79	     0
8992.79	     0
8992.79	     0
8992.79	     0
8992.79	0.237693
8992.79	     0
8992.88	     0
8992.88	     0
8992.88	     0
8992.88	     0
8992.88	0.306803
8992.88	     0
8993.13	     0
8993.13	     0
8993.13	     0
8993.13	     0
8993.13	0.100479
8993.13	     0
8993.25	     0
8993.25	     0
8993.25	     0
8993.25	     0
8993.25	0.314724
8993.25	     0
8993.46	     0
8993.46	     0
8993.46	     0
8993.46	     0
8993.46	0.216283
8993.46	     0
8993.61	     0
8993.61	     0
8993.61	     0
8993.61	     0
8993.61	0.15079
8993.61	     0
8993.73	     0
8993.73	     0
8993.73	     0
8993.73	     0
8993.73	0.306286
8993.73	     0
8993.87	     0
8993.87	     0
8993.87	     0
8993.87	     0
8993.87	0.147776
8993.87	     0
8993.89	     0
8993.89	     0
8993.89	     0
8993.89	     0
8993.89	0.315183
8993.89	     0
8993.94	     0
8993.94	     0
8993.94	     0
8993.94	     0
8993.94	0.164451
8993.94	     0
